受付日時,チケットID,カテゴリ,部門,優先度,対応者役職,対応時間分,解決日,FCRフラグ,SLA達成,再発フラグ,対応形態,問合せソース,要因区分,顧客満足度
2025-04-22 13:34,HD2504220100,アカウント,マーケ,中,係長,76,2025-04-22,なし,達成,なし,リモート,電話,設定不備,4
2025-08-26 07:57,HD2508260101,アカウント,情シス,中,主任,22,2025-08-26,あり,達成,なし,オンサイト,メール,設定不備,4
2025-12-11 00:51,HD2512110102,SaaS利用,法務,低,主任,16,2025-12-11,あり,達成,なし,電話,メール,設定不備,5
2024-11-10 09:34,HD2411100103,PCトラブル,経理,中,主任,15,2024-11-10,あり,達成,なし,オンサイト,チャット,仕様,5
2025-01-20 11:52,HD2501200104,業務システム,経理,低,主任,42,2025-01-20,あり,達成,あり,リモート,メール,外部要因,5
2024-11-10 05:17,HD2411100105,プリンタ,総務,低,主任,29,2024-11-10,なし,達成,あり,電話,チャット,教育不足,1
2025-07-02 17:24,HD2507020106,業務システム,総務,低,係長,7,2025-07-02,なし,達成,なし,電話,対面,教育不足,5
2025-05-15 10:30,HD2505150107,アカウント,人事,高,係長,85,2025-05-15,あり,達成,なし,リモート,チャット,設定不備,5
2025-02-12 14:33,HD2502120108,PCトラブル,人事,低,主任,5,2025-02-12,あり,達成,なし,電話,チケット,ハード故障,5
2026-03-24 07:10,HD2603240109,PCトラブル,営業,中,課長,48,2026-03-24,なし,達成,なし,リモート,チケット,設定不備,3
2024-09-07 17:08,HD2409070110,ネットワーク,経理,高,係長,135,2024-09-07,あり,未達,なし,リモート,チケット,教育不足,2
2025-03-29 09:04,HD2503290111,アカウント,マーケ,中,係長,84,2025-03-29,あり,達成,なし,リモート,電話,その他,5
2026-03-12 03:43,HD2603120112,VPN,情シス,高,係長,20,2026-03-12,なし,達成,なし,オンサイト,電話,仕様,3
2025-01-26 00:59,HD2501260113,PCトラブル,人事,高,主任,176,2025-01-26,あり,未達,なし,リモート,チケット,教育不足,2
2025-07-18 08:14,HD2507180114,アカウント,総務,高,課長,91,2025-07-18,なし,達成,なし,リモート,チケット,設定不備,4
2024-07-23 05:55,HD2407230115,アカウント,法務,低,課長,14,2024-07-23,なし,達成,なし,リモート,チャット,設定不備,4
2025-10-30 02:32,HD2510300116,PCトラブル,マーケ,中,課長,53,2025-10-30,なし,達成,なし,オンサイト,チャット,設定不備,3
2024-12-09 23:37,HD2412090117,アカウント,人事,中,係長,78,2024-12-10,あり,達成,なし,オンサイト,メール,設定不備,4
2024-10-10 14:16,HD2410100118,業務システム,法務,低,主任,23,2024-10-10,なし,達成,あり,リモート,メール,脆弱性,3
2025-08-07 00:14,HD2508070119,ネットワーク,法務,中,主任,75,2025-08-07,あり,達成,なし,オンサイト,チケット,脆弱性,5
2024-02-05 00:44,HD2402050120,メール,営業,中,係長,65,2024-02-05,あり,達成,なし,リモート,対面,設定不備,5
2025-03-20 09:40,HD2503200121,VPN,開発,中,課長,60,2025-03-20,あり,達成,なし,リモート,電話,設定不備,4
2026-05-05 17:49,HD2605050122,その他,情シス,低,主任,30,2026-05-05,あり,達成,なし,リモート,チャット,外部要因,4
2025-05-31 08:06,HD2505310123,セキュリティ,製造,低,係長,20,2025-05-31,あり,達成,なし,オンサイト,チャット,教育不足,5
2024-09-18 12:01,HD2409180124,SaaS利用,経理,低,係長,20,2024-09-18,あり,達成,なし,リモート,チャット,仕様,5
2025-01-09 11:04,HD2501090125,セキュリティ,開発,低,課長,15,2025-01-09,あり,達成,なし,リモート,チケット,設定不備,4
2024-04-14 22:09,HD2404140126,業務システム,法務,高,係長,160,2024-04-15,あり,未達,なし,リモート,メール,外部要因,1
2024-06-07 10:02,HD2406070127,PCトラブル,経理,低,主任,36,2024-06-07,あり,達成,あり,オンサイト,チャット,設定不備,5
2024-02-16 05:15,HD2402160128,アカウント,マーケ,低,課長,39,2024-02-16,あり,達成,あり,リモート,電話,ハード故障,5
2026-02-02 04:35,HD2602020129,PCトラブル,マーケ,中,主任,48,2026-02-02,あり,達成,なし,リモート,対面,設定不備,5
2026-01-11 09:01,HD2601110130,ネットワーク,製造,低,課長,22,2026-01-11,あり,達成,なし,リモート,チャット,教育不足,5
2025-08-05 12:11,HD2508050131,セキュリティ,法務,低,主任,44,2025-08-05,なし,達成,なし,リモート,メール,ハード故障,4
2026-02-26 20:20,HD2602260132,PCトラブル,開発,低,主任,42,2026-02-26,あり,達成,なし,リモート,対面,その他,4
2024-05-21 14:12,HD2405210133,セキュリティ,開発,低,主任,48,2024-05-21,なし,達成,なし,リモート,チケット,設定不備,4
2025-08-06 11:16,HD2508060134,メール,開発,低,主任,17,2025-08-06,あり,達成,なし,リモート,電話,設定不備,4
2025-02-23 01:21,HD2502230135,アカウント,経理,中,係長,55,2025-02-23,あり,達成,なし,リモート,チケット,教育不足,5
2024-06-14 03:51,HD2406140136,業務システム,総務,低,係長,36,2024-06-14,なし,達成,なし,電話,メール,教育不足,4
2026-04-17 21:20,HD2604170137,PCトラブル,総務,低,主任,9,2026-04-17,あり,達成,なし,リモート,チケット,ハード故障,5
2025-11-21 13:07,HD2511210138,PCトラブル,人事,低,課長,17,2025-11-21,あり,達成,なし,リモート,チケット,その他,5
2026-01-10 15:57,HD2601100139,メール,マーケ,緊急,主任,165,2026-01-10,なし,未達,なし,リモート,チケット,外部要因,1
2024-04-17 09:35,HD2404170140,SaaS利用,開発,低,課長,25,2024-04-17,あり,達成,なし,リモート,電話,脆弱性,5
2025-05-23 05:31,HD2505230141,アカウント,経理,低,課長,25,2025-05-23,あり,達成,なし,電話,チャット,設定不備,4
2026-05-30 20:30,HD2605300142,セキュリティ,人事,低,課長,19,2026-05-30,あり,達成,なし,オンサイト,チケット,外部要因,4
2025-05-19 01:58,HD2505190143,業務システム,情シス,中,課長,146,2025-05-19,あり,達成,あり,リモート,メール,設定不備,5
2026-01-10 02:52,HD2601100144,プリンタ,マーケ,低,主任,17,2026-01-10,あり,達成,なし,リモート,対面,教育不足,5
2024-10-09 00:52,HD2410090145,ネットワーク,総務,中,課長,53,2024-10-09,あり,達成,なし,リモート,チケット,仕様,4
2025-06-09 01:24,HD2506090146,ネットワーク,法務,中,主任,42,2025-06-09,なし,達成,なし,リモート,チケット,設定不備,4
2024-01-18 04:30,HD2401180147,アカウント,情シス,低,課長,42,2024-01-18,あり,達成,なし,リモート,チケット,ハード故障,5
2024-06-30 10:19,HD2406300148,VPN,マーケ,低,主任,27,2024-06-30,あり,達成,なし,リモート,電話,仕様,5
2025-06-26 01:14,HD2506260149,PCトラブル,営業,中,係長,22,2025-06-26,あり,達成,なし,オンサイト,チケット,仕様,5
2024-08-01 06:25,HD2408010150,セキュリティ,法務,低,課長,24,2024-08-01,なし,達成,なし,リモート,チャット,外部要因,4
2026-05-04 11:30,HD2605040151,メール,人事,高,課長,157,2026-05-04,あり,未達,なし,リモート,チケット,教育不足,3
2024-04-27 11:51,HD2404270152,VPN,営業,中,主任,42,2024-04-27,なし,達成,なし,リモート,チャット,ハード故障,4
2025-09-27 07:13,HD2509270153,メール,製造,中,主任,32,2025-09-27,あり,達成,なし,リモート,チケット,外部要因,5
2024-01-29 01:10,HD2401290154,プリンタ,経理,中,係長,51,2024-01-29,あり,達成,なし,リモート,電話,その他,4
2024-07-13 16:06,HD2407130155,PCトラブル,マーケ,中,主任,76,2024-07-13,あり,達成,なし,リモート,チケット,その他,5
2024-08-16 00:22,HD2408160156,セキュリティ,経理,中,係長,115,2024-08-16,あり,達成,なし,電話,チャット,教育不足,5
2024-05-08 00:22,HD2405080157,VPN,製造,高,主任,88,2024-05-08,なし,達成,なし,オンサイト,電話,脆弱性,5
2024-04-07 19:14,HD2404070158,SaaS利用,営業,高,係長,160,2024-04-07,あり,未達,なし,オンサイト,チケット,設定不備,3
2025-12-05 00:24,HD2512050159,アカウント,情シス,中,係長,35,2025-12-05,あり,達成,なし,リモート,電話,ハード故障,5
2025-06-30 03:31,HD2506300160,SaaS利用,経理,低,課長,18,2025-06-30,あり,達成,なし,電話,チケット,設定不備,4
2025-02-19 20:24,HD2502190161,PCトラブル,開発,低,主任,21,2025-02-19,あり,達成,なし,オンサイト,メール,教育不足,5
2024-09-01 09:04,HD2409010162,アカウント,営業,中,係長,58,2024-09-01,あり,達成,なし,リモート,メール,外部要因,5
2025-05-02 10:58,HD2505020163,プリンタ,情シス,中,係長,59,2025-05-02,あり,達成,なし,リモート,チャット,設定不備,5
2024-03-30 20:14,HD2403300164,業務システム,製造,低,課長,54,2024-03-30,あり,達成,なし,リモート,チケット,教育不足,5
2025-06-26 20:53,HD2506260165,アカウント,製造,緊急,課長,206,2025-06-27,あり,未達,なし,オンサイト,チケット,仕様,2
2025-09-01 05:58,HD2509010166,プリンタ,マーケ,中,係長,95,2025-09-01,あり,達成,あり,電話,チケット,教育不足,5
2024-12-21 18:29,HD2412210167,PCトラブル,人事,緊急,課長,199,2024-12-21,あり,未達,なし,リモート,メール,教育不足,3
2026-03-16 06:03,HD2603160168,PCトラブル,マーケ,低,係長,31,2026-03-16,なし,達成,なし,オンサイト,チャット,脆弱性,4
2024-07-08 04:07,HD2407080169,VPN,情シス,中,係長,64,2024-07-08,あり,達成,なし,リモート,チケット,設定不備,4
2025-01-14 02:58,HD2501140170,PCトラブル,マーケ,低,主任,12,2025-01-14,なし,達成,なし,リモート,チャット,仕様,5
2024-03-28 22:18,HD2403280171,ネットワーク,経理,中,課長,50,2024-03-28,あり,達成,なし,リモート,チケット,教育不足,5
2024-01-09 03:54,HD2401090172,PCトラブル,法務,低,主任,25,2024-01-09,あり,達成,なし,リモート,チャット,外部要因,5
2026-02-15 17:30,HD2602150173,PCトラブル,総務,中,課長,95,2026-02-15,なし,達成,なし,リモート,電話,ハード故障,4
2025-12-02 11:30,HD2512020174,メール,営業,中,係長,79,2025-12-02,あり,達成,なし,電話,チケット,外部要因,5
2024-07-14 19:12,HD2407140175,ネットワーク,開発,低,係長,32,2024-07-14,なし,達成,あり,リモート,メール,教育不足,2
2024-12-24 05:06,HD2412240176,PCトラブル,情シス,低,課長,41,2024-12-24,あり,達成,なし,リモート,チャット,教育不足,5
2024-07-17 13:29,HD2407170177,アカウント,人事,低,係長,13,2024-07-17,あり,達成,あり,オンサイト,チケット,設定不備,5
2024-07-26 00:53,HD2407260178,セキュリティ,経理,中,係長,64,2024-07-26,なし,達成,なし,オンサイト,チャット,教育不足,5
2025-05-10 17:43,HD2505100179,PCトラブル,営業,緊急,主任,213,2025-05-10,あり,未達,なし,オンサイト,チケット,ハード故障,3
2024-10-03 23:25,HD2410030180,業務システム,マーケ,中,課長,57,2024-10-04,あり,達成,なし,電話,電話,仕様,5
2025-11-29 16:49,HD2511290181,PCトラブル,マーケ,緊急,課長,172,2025-11-29,あり,未達,なし,リモート,チケット,教育不足,2
2026-04-24 23:11,HD2604240182,PCトラブル,人事,低,課長,28,2026-04-24,あり,達成,なし,リモート,チケット,仕様,4
2026-04-14 09:18,HD2604140183,PCトラブル,開発,中,係長,59,2026-04-14,あり,達成,あり,リモート,チケット,設定不備,5
2026-03-05 10:13,HD2603050184,PCトラブル,人事,低,係長,7,2026-03-05,なし,達成,なし,リモート,対面,設定不備,5
2024-10-23 12:48,HD2410230185,プリンタ,情シス,低,主任,21,2024-10-23,なし,達成,なし,オンサイト,電話,教育不足,3
2024-12-03 23:12,HD2412030186,アカウント,法務,中,課長,14,2024-12-03,あり,達成,なし,リモート,電話,設定不備,5
2024-10-28 05:46,HD2410280187,ネットワーク,マーケ,中,課長,25,2024-10-28,なし,達成,なし,オンサイト,チケット,教育不足,4
2025-05-23 19:22,HD2505230188,VPN,経理,低,係長,25,2025-05-23,あり,達成,なし,リモート,チケット,教育不足,4
2024-11-06 15:18,HD2411060189,PCトラブル,総務,中,係長,51,2024-11-06,あり,達成,なし,電話,メール,仕様,4
2024-06-17 16:59,HD2406170190,ネットワーク,製造,中,課長,105,2024-06-17,あり,達成,なし,リモート,チケット,設定不備,4
2026-04-07 06:15,HD2604070191,メール,営業,中,主任,79,2026-04-07,なし,達成,なし,電話,チケット,設定不備,4
2025-12-08 22:02,HD2512080192,PCトラブル,法務,高,主任,134,2025-12-09,あり,未達,なし,リモート,チケット,ハード故障,2
2025-09-20 23:53,HD2509200193,アカウント,情シス,低,課長,29,2025-09-21,あり,達成,なし,リモート,チケット,教育不足,5
2026-02-16 07:07,HD2602160194,ネットワーク,情シス,高,課長,63,2026-02-16,あり,達成,なし,リモート,チケット,設定不備,5
2024-05-30 19:34,HD2405300195,VPN,経理,中,主任,102,2024-05-30,あり,達成,なし,リモート,チケット,脆弱性,5
2025-11-29 21:02,HD2511290196,SaaS利用,人事,緊急,主任,145,2025-11-29,なし,未達,なし,リモート,チャット,ハード故障,1
2026-04-05 09:15,HD2604050197,PCトラブル,営業,低,課長,20,2026-04-05,あり,達成,なし,オンサイト,チャット,教育不足,5
2024-06-08 14:57,HD2406080198,VPN,経理,中,主任,36,2024-06-08,あり,達成,あり,オンサイト,チケット,外部要因,5
2025-12-14 23:27,HD2512140199,アカウント,マーケ,中,主任,44,2025-12-15,あり,達成,なし,リモート,チャット,設定不備,5
2026-03-26 02:45,HD2603260200,メール,開発,低,課長,15,2026-03-26,あり,達成,なし,電話,チャット,仕様,4
2025-09-05 21:30,HD2509050201,アカウント,経理,低,課長,33,2025-09-05,あり,達成,なし,リモート,対面,教育不足,4
2024-02-17 05:52,HD2402170202,セキュリティ,営業,低,主任,32,2024-02-17,あり,達成,なし,オンサイト,メール,ハード故障,5
2024-08-09 16:45,HD2408090203,PCトラブル,マーケ,低,係長,24,2024-08-09,あり,達成,なし,電話,チケット,仕様,5
2025-07-29 00:25,HD2507290204,アカウント,営業,中,主任,43,2025-07-29,あり,達成,なし,電話,チャット,その他,5
2025-01-15 20:47,HD2501150205,アカウント,総務,低,係長,11,2025-01-15,あり,達成,なし,リモート,チケット,設定不備,5
2024-01-10 22:47,HD2401100206,メール,経理,中,係長,54,2024-01-10,あり,達成,あり,リモート,チャット,外部要因,5
2025-12-20 19:13,HD2512200207,ネットワーク,法務,中,主任,95,2025-12-20,あり,達成,なし,リモート,チケット,脆弱性,5
2024-06-24 08:09,HD2406240208,メール,情シス,中,主任,36,2024-06-24,なし,達成,なし,リモート,メール,設定不備,5
2026-02-15 14:33,HD2602150209,メール,情シス,中,課長,62,2026-02-15,あり,達成,なし,リモート,チケット,教育不足,5
2024-08-20 17:11,HD2408200210,VPN,開発,中,主任,45,2024-08-20,あり,達成,なし,リモート,チャット,その他,5
