対応ID,顧客名,契約プラン,対象設備,設備型式,訪問日,対応区分,障害内容,対応内容,作業時間（時間）,部品交換有無,部品費用（円）,作業費用（円）,一次解決,担当エンジニア,顧客満足度,備考
SVC-2024-021,関東精密株式会社,スタンダード,CNC旋盤,NL-2000,2024-11-15,定期点検,定期点検（四半期）（報告書INS-2024-0098）,全項目点検実施・複数劣化検出,4.5,無,0,0,○,川上 直樹,3,オーバーホール提案予定
SVC-2024-022,北陸樹脂加工株式会社,ベーシック,射出成形機,SE-180,2024-11-25,緊急対応,安全ドアインターロック不良,リミットスイッチ交換,1.5,有,4500,22500,○,森田 拓海,5,安全最優先で即対応
SVC-2024-023,信濃プラスチック株式会社,プレミアム,射出成形機,SE-280,2024-12-10,緊急対応,射出スクリュー回転不良,逆流防止リング交換,3.0,有,45000,0,○,森田 拓海,4,契約内部品
SVC-2025-001,中部機械製作所,スタンダード,円筒研削盤,GU-32,2025-01-20,定期点検,定期点検（四半期）（報告書INS-2025-0008）,全項目点検実施,3.5,無,0,0,○,森田 拓海,5,契約内
SVC-2025-002,甲信電機株式会社,プレミアム,自動組立機,FA-150,2025-02-10,定期点検,定期点検（月次）（報告書INS-2025-0015）,全項目点検実施,3.5,無,0,0,○,川上 直樹,4,契約内
SVC-2025-003,東洋精機株式会社,プレミアム,CNC旋盤,NL-2500,2025-02-18,緊急対応,X軸サーボモーター異常,エンコーダー交換・原点復帰,4.0,有,85000,0,○,森田 拓海,4,契約内部品
SVC-2025-004,富士電装株式会社,スタンダード,自動組立機,FA-200,2025-03-05,緊急対応,部品供給フィーダー停止,フィーダー調整・清掃,1.5,無,0,22500,○,川上 直樹,5,
SVC-2025-005,関東精密株式会社,スタンダード,CNC旋盤,NL-2000,2025-03-12,計画修理,主軸ベアリング交換（計画）,主軸ベアリング交換・精度調整,10.0,有,185000,150000,○,川上 直樹,4,点検報告に基づく計画交換
SVC-2025-006,東洋精機株式会社,プレミアム,CNC旋盤,NL-2500,2025-03-18,定期点検,定期点検（月次）,全項目点検実施,4.0,無,0,0,○,森田 拓海,5,契約内
SVC-2025-007,信濃プラスチック株式会社,プレミアム,射出成形機,SE-280,2025-03-25,緊急対応,型締力不均一アラーム,タイバーナット増締め・型締力再校正,2.5,無,0,0,○,森田 拓海,4,契約内
SVC-2025-008,富士電装株式会社,スタンダード,自動組立機,FA-200,2025-04-02,緊急対応,ロボットアーム原点復帰エラー,バッテリー交換・原点復帰,1.5,有,2800,22500,○,川上 直樹,5,
SVC-2025-009,三河工業株式会社,スタンダード,マシニングセンタ,MV-65,2025-04-10,緊急対応,B軸回転テーブル異音,ベアリング予圧調整,2.0,無,0,30000,○,川上 直樹,4,
SVC-2025-010,甲信電機株式会社,プレミアム,自動組立機,FA-150,2025-04-15,定期点検,定期点検（月次）,全項目点検実施,3.0,無,0,0,○,川上 直樹,5,契約内
SVC-2025-011,北陸樹脂加工株式会社,ベーシック,射出成形機,SE-180,2025-04-22,定期点検,定期点検（半期）,全項目点検実施,3.5,無,0,52500,○,森田 拓海,4,
SVC-2025-012,東洋精機株式会社,プレミアム,CNC旋盤,NL-2500,2025-04-28,緊急対応,クーラントノズル詰まり,ノズルフィルター清掃・タンク清掃,1.5,無,0,0,○,森田 拓海,4,契約内
SVC-2025-013,大和電子工業株式会社,ベーシック,はんだ付けロボット,SR-10,2025-05-05,緊急対応,はんだ供給停止,送りローラー清掃・はんだ線交換,1.0,有,4500,15000,○,森田 拓海,5,
SVC-2025-014,関東精密株式会社,スタンダード,CNC旋盤,NL-2000,2025-05-12,緊急対応,刃物台位置決め不良,クランプ機構調整・部品交換,3.0,有,35000,45000,○,川上 直樹,4,
SVC-2025-015,信濃プラスチック株式会社,プレミアム,射出成形機,SE-280,2025-05-18,緊急対応,冷却能力低下,チラーコンデンサーフィン清掃・冷媒補充,2.5,無,0,0,○,森田 拓海,4,契約内
SVC-2025-016,富士電装株式会社,スタンダード,自動組立機,FA-200,2025-05-25,定期点検,定期点検（四半期）,全項目点検実施,3.5,無,0,0,○,川上 直樹,5,契約内
SVC-2025-017,東洋精機株式会社,プレミアム,CNC旋盤,NL-2500,2025-06-02,定期点検,定期点検（月次）,全項目点検実施,4.0,無,0,0,○,森田 拓海,5,契約内
SVC-2025-018,中部機械製作所,スタンダード,円筒研削盤,GU-32,2025-06-10,緊急対応,テーブル送り異常,摺動面調整・潤滑油交換,2.5,無,0,37500,○,森田 拓海,4,
SVC-2025-019,甲信電機株式会社,プレミアム,自動組立機,FA-150,2025-06-15,定期点検,定期点検（月次）,全項目点検実施,3.0,無,0,0,○,川上 直樹,5,契約内
SVC-2025-020,三河工業株式会社,スタンダード,マシニングセンタ,MV-65,2025-06-20,緊急対応,レーザーマーカー出力低下,レーザー出力校正・レンズ清掃,1.5,無,0,22500,○,川上 直樹,4,
SVC-2025-021,北陸樹脂加工株式会社,ベーシック,射出成形機,SE-180,2025-06-25,緊急対応,ホッパーローダー停止,ホッパー清掃・ブリッジブレーカー調整,1.0,無,0,15000,○,森田 拓海,5,
SVC-2025-022,関東精密株式会社,スタンダード,CNC旋盤,NL-2000,2025-06-30,定期点検,定期点検（四半期）,全項目点検実施・オーバーホール提案,4.5,無,0,0,○,川上 直樹,4,契約内・提案書提出
SVC-2025-023,東洋精機株式会社,プレミアム,CNC旋盤,NL-2500,2025-07-15,定期点検,定期点検（月次）,全項目点検実施,4.0,無,0,0,○,森田 拓海,5,契約内
SVC-2025-024,信濃プラスチック株式会社,プレミアム,射出成形機,SE-280,2025-07-22,緊急対応,金型クランプ力不足,Oリング交換・型締力再校正,2.5,有,32000,0,○,森田 拓海,4,契約内部品
SVC-2025-025,三河工業株式会社,スタンダード,マシニングセンタ,MV-65,2025-07-28,定期点検,定期点検（四半期）,全項目点検実施,4.0,無,0,0,○,川上 直樹,5,契約内
SVC-2025-026,大和電子工業株式会社,ベーシック,はんだ付けロボット,SR-10,2025-08-05,定期点検,定期点検（半期）,全項目点検実施,3.0,無,0,45000,○,森田 拓海,4,
SVC-2025-027,甲信電機株式会社,プレミアム,自動組立機,FA-150,2025-08-12,緊急対応,画像検査カメラ照明ムラ,LED照明ユニット交換,1.5,有,35000,0,○,川上 直樹,5,契約内部品
