訪問日,訪問ID,顧客名,業種,契約プラン,設備型式,対応区分,所要時間分,部品費,作業費,総費用,SLA達成,一次解決,再訪問,担当エンジニア,訪問距離km,リモート判定,対応難易度,顧客満足度,受付チャネル
2024-01-15,V000022,大和精機製作所,製造業,プレミアム,MX-300,予防保全,75,59939,10424,70363,達成,解決,なし,E012,40.4,不可,中,4.2,アプリ
2024-01-16,V000023,大和精機製作所,製造業,ベーシック,RX-500,予防保全,73,3007,9074,12081,達成,解決,なし,E025,170.3,不可,中,4.4,メール
2024-01-16,V000024,東和建設,建設,プレミアム,RX-500,再訪問対応,106,75233,17843,93076,達成,解決,なし,E024,145.5,不可,低,3.9,電話
2024-01-18,V000025,株式会社ネクストブリッジ,IT,スタンダード,MX-200,部品交換,112,17096,15495,32591,達成,解決,なし,E020,174.0,不可,低,3.5,アプリ
2024-01-20,V000026,花鳥風月,観光,スポット,MX-200,ソフトウェア更新,44,0,6058,6058,未達,解決,なし,E006,57.2,可,低,2.9,電話
2024-01-20,V000027,東都フィナンシャル証券,金融,プレミアム,PX-50,部品交換,128,35550,15847,51397,達成,未解決,なし,E021,109.2,不可,中,4.2,電話
2024-01-21,V000028,東京湾岸エナジー,電力,ベーシック,RX-500,ソフトウェア更新,77,0,11894,11894,達成,未解決,あり,E005,113.2,不可,中,3.7,アプリ
2024-01-21,V000029,東洋精機,製造業,スタンダード,PX-80,部品交換,149,6929,16983,23912,達成,解決,なし,E003,150.0,不可,低,4.3,現地
2024-01-22,V000030,日本橋製薬,製薬,スタンダード,MX-100,ソフトウェア更新,67,0,9721,9721,未達,解決,なし,E011,172.5,可,中,3.8,電話
2024-01-22,V000031,東都フィナンシャル証券,金融,プレミアム,PX-50,再訪問対応,111,50870,19342,70212,達成,解決,なし,E022,71.0,不可,中,4.0,現地
2024-01-25,V000032,東洋精機,製造業,ベーシック,AX-1000,定期点検,77,0,13059,13059,達成,解決,なし,E005,173.7,不可,中,4.2,メール
2024-01-26,V000033,東洋精機,製造業,ベーシック,AX-1000,部品交換,61,42577,9096,51673,未達,未解決,あり,E005,116.5,不可,低,2.5,現地
2024-01-26,V000034,大和精機製作所,製造業,ベーシック,AX-1000,定期点検,102,0,14691,14691,達成,解決,なし,E003,42.3,不可,低,5.0,メール
2024-01-26,V000035,みどり市役所,公共,プレミアム,MX-100,再訪問対応,151,23266,18521,41787,達成,解決,なし,E006,125.3,不可,中,4.4,アプリ
2024-01-27,V000036,東洋精機,製造業,スタンダード,PX-50,ソフトウェア更新,61,0,10833,10833,達成,未解決,なし,E022,141.6,不可,低,4.4,現地
2024-01-27,V000037,暮らしの匠,小売,スタンダード,PX-80,ソフトウェア更新,65,0,9901,9901,達成,解決,なし,E012,157.4,可,低,4.3,現地
2024-01-28,V000038,暮らしの匠,小売,ベーシック,MX-200,部品交換,85,59340,9895,69235,達成,解決,なし,E012,164.1,不可,中,4.2,電話
2024-01-28,V000039,株式会社ミライテック,IT,スタンダード,AX-1000,緊急修理,155,14987,26155,41142,達成,解決,なし,E005,117.7,不可,中,4.4,電話
2024-01-28,V000040,東和建設,建設,ベーシック,MX-300,再訪問対応,135,30266,22740,53006,達成,解決,なし,E017,99.7,不可,中,3.9,アプリ
2024-01-29,V000041,大和精機製作所,製造業,スタンダード,PX-80,定期点検,96,0,11304,11304,達成,解決,なし,E001,163.1,不可,中,3.5,現地
2024-01-30,V000042,東都フィナンシャル証券,金融,ベーシック,PX-80,ソフトウェア更新,51,0,7995,7995,達成,解決,なし,E018,95.2,可,高,3.9,現地
2024-01-30,V000043,花鳥風月,観光,スタンダード,MX-100,ソフトウェア更新,49,0,7953,7953,達成,解決,なし,E022,65.6,可,低,4.3,電話
2024-01-30,V000044,花鳥風月,観光,ベーシック,AX-1000,緊急修理,159,62899,28406,91305,達成,解決,なし,E005,87.2,不可,低,3.7,電話
2024-01-30,V000045,東北ロジスティクス,物流,スポット,MX-100,部品交換,109,54196,19537,73733,達成,未解決,なし,E025,98.7,不可,低,4.4,Web
2024-01-31,V000046,東和建設,建設,ベーシック,MX-100,再訪問対応,83,59637,14327,73964,達成,解決,なし,E016,70.8,不可,高,4.8,アプリ
2024-02-01,V000047,株式会社ミライテック,IT,ベーシック,PX-80,定期点検,56,0,8298,8298,達成,解決,なし,E022,59.2,不可,低,3.4,メール
2024-02-02,V000048,東和建設,建設,ベーシック,AX-2000,緊急修理,223,48210,34127,82337,達成,解決,なし,E002,79.4,不可,中,4.3,電話
2024-02-02,V000049,東北ロジスティクス,物流,スタンダード,MX-300,定期点検,91,0,10438,10438,達成,解決,なし,E013,140.6,不可,低,3.9,現地
2024-02-02,V000050,東洋精機,製造業,プレミアム,RX-500,部品交換,87,54171,11484,65655,達成,解決,なし,E001,51.6,不可,高,3.7,Web
2024-02-03,V000051,株式会社ネクストブリッジ,IT,スタンダード,MX-200,部品交換,129,66382,15997,82379,達成,解決,なし,E006,26.2,不可,低,4.7,アプリ
2024-02-06,V000052,暮らしの匠,小売,ベーシック,AX-1000,再訪問対応,63,22644,10069,32713,達成,解決,なし,E012,167.1,不可,中,3.7,現地
2024-02-06,V000053,東京湾岸エナジー,電力,スポット,MX-300,緊急修理,116,74305,13813,88118,未達,解決,なし,E013,159.4,不可,低,3.0,アプリ
2024-02-07,V000054,東都フィナンシャル証券,金融,ベーシック,MX-200,緊急修理,96,47156,11422,58578,未達,解決,なし,E019,149.6,不可,中,3.4,Web
2024-02-07,V000055,花鳥風月,観光,プレミアム,MX-100,定期点検,117,0,14716,14716,達成,解決,なし,E010,170.7,不可,中,5.0,電話
2024-02-09,V000056,東和建設,建設,ベーシック,PX-80,緊急修理,194,79569,34127,113696,達成,解決,なし,E024,29.4,不可,中,4.4,現地
2024-02-09,V000057,株式会社ミライテック,IT,スポット,MX-100,定期点検,88,0,13204,13204,達成,未解決,なし,E021,112.0,不可,低,4.3,現地
2024-02-10,V000058,東和建設,建設,スポット,RX-500,緊急修理,161,59619,22394,82013,未達,未解決,あり,E005,84.7,不可,低,3.3,メール
2024-02-10,V000059,みどり市役所,公共,スタンダード,AX-1000,ソフトウェア更新,47,0,6704,6704,達成,解決,なし,E010,49.6,可,低,3.8,アプリ
2024-02-10,V000060,みどり市役所,公共,スタンダード,MX-300,部品交換,126,69466,17977,87443,未達,解決,なし,E003,158.5,不可,低,3.5,アプリ
2024-02-11,V000061,東都フィナンシャル証券,金融,スポット,PX-50,予防保全,48,63680,6240,69920,達成,解決,なし,E005,3.5,不可,低,4.0,メール
2024-02-11,V000062,東北ロジスティクス,物流,ベーシック,AX-1000,定期点検,99,0,11399,11399,達成,解決,なし,E009,91.8,不可,中,4.6,現地
2024-02-12,V000063,東北ロジスティクス,物流,プレミアム,MX-200,ソフトウェア更新,54,0,8217,8217,達成,未解決,あり,E023,73.4,可,低,4.2,メール
2024-02-12,V000064,花鳥風月,観光,スタンダード,MX-300,予防保全,119,53505,21341,74846,未達,解決,なし,E011,133.6,不可,低,3.0,現地
2024-02-14,V000065,花鳥風月,観光,スタンダード,PX-80,ソフトウェア更新,40,0,6034,6034,達成,解決,なし,E001,143.8,不可,中,2.8,現地
2024-02-14,V000066,株式会社ネクストブリッジ,IT,スポット,PX-50,再訪問対応,78,51832,9386,61218,達成,解決,なし,E023,123.2,不可,低,3.9,電話
2024-02-15,V000067,東京湾岸エナジー,電力,スタンダード,AX-2000,緊急修理,98,63814,16767,80581,達成,解決,なし,E005,133.0,不可,低,4.0,現地
2024-02-15,V000068,東京湾岸エナジー,電力,スタンダード,RX-500,予防保全,69,36650,10536,47186,達成,未解決,あり,E018,36.2,不可,低,3.9,メール
2024-02-16,V000069,東京湾岸エナジー,電力,スポット,PX-80,部品交換,81,37842,10541,48383,未達,未解決,あり,E013,104.1,不可,中,3.3,メール
2024-02-16,V000070,暮らしの匠,小売,ベーシック,PX-80,定期点検,73,0,10478,10478,達成,未解決,あり,E018,38.0,不可,中,4.1,メール
2024-02-17,V000071,大和精機製作所,製造業,ベーシック,PX-50,緊急修理,151,45292,24192,69484,達成,未解決,あり,E001,19.9,不可,中,4.2,現地
2024-02-17,V000072,暮らしの匠,小売,プレミアム,RX-500,ソフトウェア更新,57,0,6506,6506,達成,解決,なし,E024,138.8,可,低,4.4,電話
2024-02-18,V000073,みどり市役所,公共,プレミアム,MX-300,定期点検,37,0,6561,6561,未達,解決,なし,E001,166.8,不可,高,3.2,メール
2024-02-21,V000074,東都フィナンシャル証券,金融,プレミアム,AX-1000,部品交換,57,19589,9665,29254,達成,解決,なし,E004,85.3,不可,低,3.8,メール
2024-02-21,V000075,大和精機製作所,製造業,スタンダード,PX-80,再訪問対応,140,27318,17119,44437,達成,解決,なし,E014,154.4,不可,高,3.4,現地
2024-02-21,V000076,東和建設,建設,スタンダード,MX-200,緊急修理,154,52275,19478,71753,未達,解決,なし,E010,136.2,不可,高,3.2,現地
2024-02-21,V000077,東北ロジスティクス,物流,プレミアム,AX-1000,再訪問対応,111,67866,19382,87248,達成,解決,なし,E023,160.0,不可,中,4.1,電話
2024-02-22,V000078,日本橋製薬,製薬,スポット,AX-1000,予防保全,28,50971,3895,54866,達成,未解決,あり,E018,99.8,不可,低,4.4,Web
2024-02-22,V000079,花鳥風月,観光,ベーシック,MX-200,予防保全,91,73781,15761,89542,達成,未解決,あり,E006,38.0,不可,中,3.9,メール
2024-02-22,V000080,みどり市役所,公共,スタンダード,PX-50,再訪問対応,71,61432,8465,69897,達成,解決,なし,E018,75.9,不可,中,3.9,アプリ
2024-02-23,V000081,東北ロジスティクス,物流,スタンダード,MX-100,ソフトウェア更新,61,0,8519,8519,達成,解決,なし,E003,126.7,可,低,4.2,アプリ
2024-02-24,V000082,東洋精機,製造業,スタンダード,MX-300,再訪問対応,40,52132,5655,57787,未達,解決,なし,E003,165.2,不可,低,4.0,現地
2024-02-25,V000083,大和精機製作所,製造業,ベーシック,MX-200,緊急修理,222,2455,36171,38626,未達,解決,なし,E024,176.2,不可,低,4.2,現地
2024-02-25,V000084,株式会社ネクストブリッジ,IT,スタンダード,PX-50,緊急修理,178,16790,19981,36771,達成,解決,なし,E001,119.5,不可,中,4.9,Web
2024-02-25,V000085,東京湾岸エナジー,電力,プレミアム,MX-100,ソフトウェア更新,83,0,11467,11467,達成,解決,なし,E002,43.7,可,高,4.2,Web
2024-02-27,V000086,東都フィナンシャル証券,金融,スタンダード,AX-1000,予防保全,90,20777,16109,36886,達成,解決,なし,E009,94.8,不可,低,4.4,電話
2024-02-27,V000087,東都フィナンシャル証券,金融,スタンダード,MX-300,再訪問対応,158,51958,26070,78028,達成,解決,なし,E005,58.7,不可,低,4.1,メール
2024-02-28,V000088,株式会社ミライテック,IT,ベーシック,RX-500,緊急修理,132,9552,19716,29268,未達,解決,なし,E005,174.3,不可,中,2.3,アプリ
2024-02-28,V000089,東京湾岸エナジー,電力,スタンダード,MX-200,ソフトウェア更新,58,0,7469,7469,達成,解決,なし,E007,121.9,可,高,3.7,現地
2024-02-29,V000090,東北ロジスティクス,物流,スタンダード,RX-500,緊急修理,156,26906,27665,54571,未達,解決,なし,E016,22.9,不可,高,3.2,Web
2024-02-29,V000091,東北ロジスティクス,物流,ベーシック,AX-2000,緊急修理,115,36283,15545,51828,達成,未解決,あり,E024,159.1,不可,低,3.9,アプリ
2024-03-01,V000092,花鳥風月,観光,スタンダード,PX-50,部品交換,152,4125,19494,23619,達成,解決,なし,E014,168.4,不可,中,3.4,メール
2024-03-01,V000093,大和精機製作所,製造業,スタンダード,AX-2000,予防保全,78,35728,12747,48475,達成,解決,なし,E024,89.0,不可,中,3.4,アプリ
2024-03-02,V000094,株式会社ネクストブリッジ,IT,ベーシック,AX-1000,緊急修理,181,9698,26548,36246,達成,解決,なし,E022,151.4,不可,低,5.0,電話
2024-03-02,V000095,花鳥風月,観光,スタンダード,PX-50,定期点検,68,0,10420,10420,達成,解決,なし,E016,120.7,不可,中,4.0,アプリ
2024-03-03,V000096,東洋精機,製造業,スタンダード,AX-2000,定期点検,71,0,10306,10306,達成,解決,なし,E006,126.2,不可,低,3.9,電話
2024-03-03,V000097,暮らしの匠,小売,スタンダード,PX-50,緊急修理,109,12357,14836,27193,達成,解決,なし,E023,74.3,不可,中,4.7,Web
2024-03-04,V000098,東和建設,建設,ベーシック,MX-200,再訪問対応,162,51436,24087,75523,未達,解決,なし,E006,12.0,不可,低,3.3,電話
2024-03-06,V000099,株式会社ネクストブリッジ,IT,スタンダード,AX-1000,予防保全,115,76289,16477,92766,未達,未解決,なし,E009,10.3,不可,低,3.0,現地
2024-03-06,V000100,東都フィナンシャル証券,金融,プレミアム,AX-1000,定期点検,90,0,12409,12409,未達,解決,なし,E008,15.7,不可,低,2.4,現地
2024-03-06,V000101,みどり市役所,公共,スタンダード,AX-1000,ソフトウェア更新,84,0,12184,12184,達成,解決,なし,E003,175.4,可,低,3.9,メール
2024-03-07,V000102,日本橋製薬,製薬,ベーシック,AX-2000,部品交換,154,48636,22901,71537,達成,解決,なし,E019,68.8,不可,低,4.0,アプリ
2024-03-08,V000103,大和精機製作所,製造業,ベーシック,PX-50,再訪問対応,88,22221,14236,36457,達成,解決,なし,E001,58.4,不可,低,4.6,メール
2024-03-10,V000104,株式会社ネクストブリッジ,IT,ベーシック,MX-200,緊急修理,107,15538,11966,27504,達成,解決,なし,E020,65.0,不可,低,3.8,メール
2024-03-10,V000105,みどり市役所,公共,プレミアム,AX-2000,ソフトウェア更新,20,0,2539,2539,達成,解決,なし,E009,94.8,可,低,3.4,メール
2024-03-11,V000106,東和建設,建設,プレミアム,MX-300,ソフトウェア更新,62,0,10917,10917,達成,解決,なし,E015,130.3,可,中,3.5,電話
2024-03-11,V000107,大和精機製作所,製造業,プレミアム,AX-2000,部品交換,140,58441,23391,81832,達成,解決,なし,E005,155.0,不可,高,3.6,メール
2024-03-11,V000108,東和建設,建設,スポット,PX-50,ソフトウェア更新,54,0,7796,7796,達成,未解決,なし,E013,104.5,可,低,4.7,メール
2024-03-11,V000109,大和精機製作所,製造業,スタンダード,MX-300,再訪問対応,118,29479,16601,46080,達成,解決,なし,E014,53.9,不可,中,2.8,アプリ
2024-03-11,V000110,大和精機製作所,製造業,スタンダード,PX-80,再訪問対応,104,64814,15678,80492,達成,解決,なし,E023,97.1,不可,高,4.4,アプリ
2024-03-11,V000111,東都フィナンシャル証券,金融,ベーシック,AX-1000,再訪問対応,121,34536,18879,53415,未達,解決,なし,E002,65.2,不可,中,3.0,現地
2024-03-12,V000112,暮らしの匠,小売,ベーシック,AX-2000,部品交換,143,68935,23205,92140,未達,解決,なし,E008,101.3,不可,中,3.2,アプリ
2024-03-12,V000113,株式会社ミライテック,IT,スタンダード,MX-300,部品交換,100,13253,11812,25065,未達,解決,なし,E010,169.4,不可,低,4.3,メール
2024-03-12,V000114,株式会社ネクストブリッジ,IT,スタンダード,RX-500,部品交換,111,41356,12557,53913,達成,解決,なし,E011,128.5,不可,低,3.6,電話
2024-03-12,V000115,東北ロジスティクス,物流,プレミアム,PX-50,予防保全,41,32389,6799,39188,達成,解決,なし,E022,114.1,不可,低,3.5,アプリ
2024-03-13,V000116,株式会社ミライテック,IT,ベーシック,PX-50,ソフトウェア更新,57,0,9271,9271,達成,解決,なし,E018,146.0,可,低,3.7,Web
2024-03-13,V000117,株式会社ミライテック,IT,プレミアム,MX-200,部品交換,145,52939,22154,75093,達成,解決,なし,E015,106.5,不可,低,3.9,現地
2024-03-13,V000118,東京湾岸エナジー,電力,ベーシック,PX-80,予防保全,100,50929,15854,66783,達成,未解決,あり,E005,92.9,不可,低,4.2,現地
2024-03-14,V000119,株式会社ミライテック,IT,プレミアム,MX-300,予防保全,118,9026,20129,29155,達成,解決,なし,E007,171.4,不可,低,4.9,アプリ
2024-03-14,V000120,暮らしの匠,小売,スタンダード,RX-500,ソフトウェア更新,69,0,7989,7989,達成,解決,なし,E009,7.5,不可,低,3.5,Web
2024-03-15,V000121,東都フィナンシャル証券,金融,プレミアム,RX-500,予防保全,88,16969,11330,28299,達成,解決,なし,E018,98.7,不可,高,3.9,電話
2024-03-15,V000122,花鳥風月,観光,スタンダード,PX-50,ソフトウェア更新,43,0,6083,6083,達成,未解決,なし,E004,64.0,不可,低,5.0,Web
2024-03-16,V000123,東京湾岸エナジー,電力,ベーシック,AX-1000,再訪問対応,87,29124,14475,43599,達成,解決,なし,E020,103.5,不可,中,3.4,現地
2024-03-16,V000124,東京湾岸エナジー,電力,スポット,PX-80,部品交換,164,19771,29092,48863,達成,未解決,あり,E009,141.9,不可,高,3.5,Web
2024-03-17,V000125,東北ロジスティクス,物流,プレミアム,MX-300,再訪問対応,148,20634,22262,42896,達成,解決,なし,E015,49.8,不可,低,3.6,電話
2024-03-17,V000126,日本橋製薬,製薬,ベーシック,MX-200,ソフトウェア更新,73,0,12885,12885,達成,解決,なし,E024,60.3,可,中,3.8,電話
2024-03-18,V000127,東北ロジスティクス,物流,スタンダード,AX-1000,定期点検,131,0,18946,18946,達成,解決,なし,E018,59.5,不可,低,3.8,現地
2024-03-18,V000128,大和精機製作所,製造業,ベーシック,AX-1000,再訪問対応,86,4134,10207,14341,達成,解決,なし,E001,154.7,不可,低,3.3,アプリ
2024-03-18,V000129,東京湾岸エナジー,電力,ベーシック,MX-300,再訪問対応,155,12803,21084,33887,達成,未解決,なし,E013,162.9,不可,低,4.3,メール
2024-03-20,V000130,東北ロジスティクス,物流,ベーシック,AX-2000,再訪問対応,132,79814,16610,96424,達成,解決,なし,E023,123.0,不可,低,4.2,メール
2024-03-21,V000131,花鳥風月,観光,スポット,AX-2000,再訪問対応,90,15425,10550,25975,達成,解決,なし,E013,67.4,不可,低,4.5,Web
2024-03-21,V000132,日本橋製薬,製薬,ベーシック,MX-200,予防保全,111,29925,17090,47015,達成,解決,なし,E022,28.9,不可,低,4.4,アプリ
2024-03-22,V000133,みどり市役所,公共,プレミアム,MX-200,緊急修理,78,43222,12899,56121,達成,解決,なし,E008,46.1,不可,中,4.9,現地
2024-03-23,V000134,日本橋製薬,製薬,ベーシック,PX-80,再訪問対応,142,26726,23053,49779,達成,未解決,なし,E008,54.6,不可,低,4.7,アプリ
2024-03-23,V000135,株式会社ミライテック,IT,スタンダード,MX-200,予防保全,85,52703,14471,67174,未達,解決,なし,E022,103.2,不可,低,3.5,Web
2024-03-23,V000136,花鳥風月,観光,スポット,MX-200,定期点検,100,0,17640,17640,達成,解決,なし,E023,72.8,不可,低,5.0,現地
2024-03-23,V000137,花鳥風月,観光,スタンダード,AX-2000,定期点検,95,0,10975,10975,達成,解決,なし,E005,165.9,不可,高,4.2,現地
2024-03-24,V000138,東和建設,建設,スタンダード,MX-200,部品交換,125,13300,21840,35140,達成,解決,なし,E002,22.6,不可,中,3.9,メール
2024-03-24,V000139,日本橋製薬,製薬,ベーシック,MX-300,定期点検,116,0,15575,15575,達成,解決,なし,E009,94.1,不可,中,4.0,Web
2024-03-24,V000140,株式会社ミライテック,IT,ベーシック,PX-80,再訪問対応,139,10371,17848,28219,未達,未解決,あり,E016,175.6,不可,中,2.8,アプリ
2024-03-26,V000141,東都フィナンシャル証券,金融,プレミアム,MX-300,部品交換,155,17117,19528,36645,達成,解決,なし,E001,92.6,不可,低,3.5,Web
2024-03-27,V000142,東洋精機,製造業,スタンダード,MX-300,緊急修理,202,56967,25394,82361,未達,未解決,あり,E011,46.2,不可,高,2.8,メール
2024-03-28,V000143,花鳥風月,観光,スタンダード,MX-200,予防保全,105,8019,18562,26581,達成,解決,なし,E010,14.3,不可,低,4.6,メール
2024-03-28,V000144,東和建設,建設,スタンダード,MX-100,部品交換,106,62807,14392,77199,達成,解決,なし,E025,175.0,不可,高,4.7,Web
2024-03-28,V000145,東北ロジスティクス,物流,スタンダード,PX-50,緊急修理,153,3257,27015,30272,達成,解決,なし,E024,2.3,不可,中,4.5,メール
2024-03-29,V000146,大和精機製作所,製造業,スタンダード,PX-50,ソフトウェア更新,83,0,9670,9670,達成,解決,なし,E023,166.0,不可,中,4.0,メール
2024-03-30,V000147,株式会社ネクストブリッジ,IT,ベーシック,MX-200,予防保全,75,19132,9493,28625,達成,未解決,あり,E013,48.5,不可,低,3.8,メール
2024-03-31,V000148,東和建設,建設,スタンダード,MX-200,緊急修理,182,43160,25198,68358,達成,未解決,あり,E007,97.4,不可,高,4.3,アプリ
2024-04-02,V000149,東和建設,建設,スタンダード,MX-200,定期点検,106,0,11959,11959,達成,解決,なし,E003,150.8,不可,低,3.3,Web
2024-04-03,V000150,暮らしの匠,小売,スタンダード,MX-100,再訪問対応,190,74869,30849,105718,達成,未解決,あり,E005,46.5,不可,低,3.7,電話
2024-04-03,V000151,東洋精機,製造業,ベーシック,PX-50,緊急修理,115,13015,17337,30352,達成,解決,なし,E001,48.1,不可,中,2.9,電話
2024-04-03,V000152,東京湾岸エナジー,電力,ベーシック,MX-300,定期点検,114,0,13880,13880,未達,未解決,あり,E013,104.2,不可,中,3.3,アプリ
2024-04-04,V000153,東洋精機,製造業,ベーシック,MX-300,部品交換,108,6541,16522,23063,達成,解決,なし,E016,111.8,不可,中,5.0,アプリ
2024-04-04,V000154,みどり市役所,公共,スタンダード,MX-200,部品交換,86,34656,13257,47913,達成,解決,なし,E013,144.8,不可,中,3.3,メール
2024-04-05,V000155,株式会社ネクストブリッジ,IT,ベーシック,AX-1000,予防保全,109,30707,12213,42920,達成,解決,なし,E016,146.3,不可,低,4.4,現地
2024-04-05,V000156,株式会社ミライテック,IT,スタンダード,PX-50,緊急修理,142,9328,23214,32542,達成,解決,なし,E013,170.7,不可,中,4.9,メール
2024-04-05,V000157,暮らしの匠,小売,スポット,MX-300,緊急修理,147,79537,16460,95997,達成,解決,なし,E019,126.7,不可,高,3.5,Web
2024-04-05,V000158,東都フィナンシャル証券,金融,プレミアム,RX-500,予防保全,115,30679,12810,43489,達成,解決,なし,E020,87.1,不可,低,4.2,Web
2024-04-05,V000159,花鳥風月,観光,スタンダード,MX-300,部品交換,115,16538,19464,36002,達成,解決,なし,E012,155.2,不可,高,3.7,アプリ
2024-04-06,V000160,日本橋製薬,製薬,スタンダード,AX-1000,緊急修理,100,65858,15544,81402,未達,解決,なし,E023,33.0,不可,高,3.5,現地
2024-04-09,V000161,花鳥風月,観光,スタンダード,MX-300,ソフトウェア更新,76,0,13407,13407,達成,解決,なし,E019,170.9,可,高,4.6,電話
2024-04-09,V000162,東京湾岸エナジー,電力,スタンダード,PX-50,再訪問対応,129,43879,15706,59585,達成,未解決,あり,E023,159.6,不可,低,3.6,メール
2024-04-10,V000163,株式会社ネクストブリッジ,IT,スタンダード,PX-50,再訪問対応,131,52585,18428,71013,達成,解決,なし,E014,76.7,不可,低,4.0,アプリ
2024-04-10,V000164,みどり市役所,公共,スタンダード,AX-2000,定期点検,90,0,12743,12743,達成,未解決,あり,E001,144.3,不可,低,3.6,メール
2024-04-10,V000165,東和建設,建設,プレミアム,AX-1000,緊急修理,229,14203,30607,44810,達成,解決,なし,E023,177.4,不可,高,4.5,電話
2024-04-11,V000166,株式会社ネクストブリッジ,IT,ベーシック,AX-2000,緊急修理,187,74628,30021,104649,達成,解決,なし,E010,131.9,不可,低,3.9,メール
2024-04-12,V000167,東京湾岸エナジー,電力,プレミアム,RX-500,緊急修理,209,64957,25911,90868,達成,解決,なし,E010,6.6,不可,低,4.5,電話
2024-04-12,V000168,株式会社ネクストブリッジ,IT,プレミアム,AX-2000,ソフトウェア更新,75,0,9220,9220,達成,解決,なし,E009,159.6,可,低,4.3,アプリ
2024-04-12,V000169,株式会社ネクストブリッジ,IT,スタンダード,PX-80,予防保全,119,72968,16538,89506,達成,未解決,なし,E002,136.6,不可,低,4.2,アプリ
2024-04-12,V000170,花鳥風月,観光,スタンダード,RX-500,予防保全,147,6551,21336,27887,未達,解決,なし,E022,162.3,不可,中,3.7,現地
2024-04-12,V000171,大和精機製作所,製造業,スポット,RX-500,緊急修理,155,7593,21643,29236,未達,解決,なし,E021,177.9,不可,低,3.5,Web
2024-04-13,V000172,みどり市役所,公共,スタンダード,MX-200,定期点検,81,0,11507,11507,達成,解決,なし,E020,157.5,不可,中,4.4,現地
