日付,社員ID,部門,職位,出勤,退勤,所定時間分,残業時間分,深夜時間分,休暇種別,有休消化日数,テレワーク,フレックス利用,打刻漏れ,36協定残量分,プロジェクトID,勤務地,シフトパターン,曜日,業務カテゴリ
2025-04-15,EMP0115,R&D部,主任,10:04,18:28,480,24,0,,0.4,なし,なし,なし,1148,PJ0018,リモート,フレックス,火,製造
2025-06-26,EMP0189,DX推進部,一般,09:49,19:08,480,139,17,,0.8,なし,あり,なし,1386,PJ0013,名古屋オフィス,シフトB,木,営業活動
2025-06-26,EMP0116,営業2部,一般,09:58,17:18,480,20,0,,1.0,なし,なし,なし,1374,PJ0015,大阪オフィス,通常,木,管理
2025-06-26,EMP0050,マーケ部,部長,,,0,0,0,慶弔,0.1,なし,なし,なし,1075,PJ0025,大阪オフィス,通常,木,管理
2025-06-26,EMP0090,DX推進部,主任,08:37,16:37,480,0,0,,0.5,なし,あり,なし,1175,PJ0024,福岡オフィス,シフトA,木,管理
2025-06-26,EMP0105,R&D部,主任,09:34,18:41,480,67,0,,0.0,なし,なし,なし,1276,PJ0001,工場,フレックス,木,事務
2025-06-26,EMP0005,経理部,係長,09:49,17:52,480,3,0,,0.3,なし,なし,なし,1711,PJ0026,本社,夜勤,木,事務
2025-06-26,EMP0073,DX推進部,一般,08:42,16:59,480,17,0,,0.8,なし,あり,なし,1180,PJ0020,本社,フレックス,木,製造
2025-06-26,EMP0023,営業1部,課長,08:25,16:30,480,5,0,,0.9,あり,なし,なし,1195,PJ0008,本社,シフトB,木,事務
2025-06-26,EMP0165,マーケ部,主任,10:27,18:32,480,5,0,,0.6,なし,なし,なし,864,PJ0029,福岡オフィス,フレックス,木,営業活動
2025-06-26,EMP0038,経理部,係長,10:46,18:46,480,0,0,,0.2,なし,なし,なし,897,PJ0025,リモート,通常,木,会議
2025-06-26,EMP0119,製造2部,一般,09:00,17:00,480,0,0,,0.3,なし,なし,なし,1692,PJ0003,工場,通常,木,事務
2025-06-26,EMP0019,人事部,課長,,,0,0,0,有給,0.4,あり,あり,なし,1793,PJ0024,大阪オフィス,夜勤,木,営業活動
2026-03-30,EMP0183,R&D部,一般,08:28,16:36,480,8,0,,0.1,あり,なし,なし,1425,PJ0011,リモート,通常,月,開発
2026-03-30,EMP0046,R&D部,一般,09:53,17:26,480,33,0,,1.0,なし,あり,なし,1818,PJ0009,本社,フレックス,月,製造
2026-03-30,EMP0041,R&D部,係長,09:08,17:04,480,56,0,,0.1,なし,なし,なし,1672,PJ0021,本社,フレックス,月,営業活動
2026-03-30,EMP0158,人事部,課長,09:14,17:14,480,0,0,,0.0,なし,なし,なし,1498,PJ0026,福岡オフィス,通常,月,管理
2026-03-30,EMP0040,マーケ部,一般,09:02,17:31,480,29,0,,0.8,なし,なし,あり,1814,PJ0028,本社,シフトA,月,会議
2026-03-30,EMP0109,情報システム部,主任,09:15,17:15,480,0,0,,0.2,あり,なし,なし,764,PJ0004,リモート,シフトB,月,管理
2026-03-30,EMP0064,営業2部,課長,09:12,17:25,480,13,0,,0.5,あり,なし,なし,1885,PJ0018,工場,夜勤,月,事務
2026-03-30,EMP0143,営業1部,一般,09:48,17:38,480,50,0,,0.2,あり,なし,なし,1547,PJ0009,リモート,シフトA,月,事務
2026-03-30,EMP0060,製造1部,課長,09:12,17:12,480,0,0,,0.1,あり,なし,なし,1134,PJ0009,名古屋オフィス,シフトA,月,会議
2026-03-30,EMP0155,人事部,一般,08:16,17:17,480,61,0,,0.1,なし,あり,なし,1793,PJ0009,名古屋オフィス,シフトB,月,営業活動
2026-03-30,EMP0140,DX推進部,課長,09:32,17:56,480,24,0,,0.3,なし,あり,なし,1305,PJ0027,名古屋オフィス,夜勤,月,会議
2026-03-30,EMP0079,経理部,主任,08:39,16:37,480,58,0,,0.0,なし,なし,なし,1529,PJ0003,工場,シフトB,月,事務
2025-09-09,EMP0050,マーケ部,部長,10:06,18:38,480,32,0,,0.8,あり,なし,なし,1126,PJ0004,福岡オフィス,夜勤,火,事務
2025-09-09,EMP0005,経理部,係長,10:50,18:50,480,0,0,,0.1,あり,なし,なし,1476,PJ0007,大阪オフィス,通常,火,製造
2025-09-09,EMP0113,マーケ部,部長,09:36,18:23,480,107,0,,0.2,あり,なし,なし,1631,PJ0014,本社,通常,火,事務
2025-09-09,EMP0177,製造1部,課長,10:35,20:51,480,136,4,,0.7,あり,なし,なし,1136,PJ0016,本社,シフトB,火,事務
2025-09-09,EMP0060,製造1部,課長,10:37,18:24,480,47,0,,0.2,あり,あり,なし,1084,PJ0011,名古屋オフィス,夜勤,火,営業活動
2025-09-09,EMP0161,R&D部,部長,10:12,18:30,480,18,0,,0.7,なし,あり,なし,1066,PJ0008,本社,通常,火,管理
2025-09-09,EMP0086,R&D部,一般,09:33,17:33,480,0,0,,0.2,あり,あり,なし,1589,PJ0002,福岡オフィス,シフトB,火,開発
2025-09-09,EMP0188,DX推進部,一般,08:56,16:05,480,9,0,,0.7,あり,あり,なし,1247,PJ0026,リモート,夜勤,火,製造
2025-09-09,EMP0013,製造2部,主任,08:34,16:30,480,56,0,,0.7,あり,あり,なし,1056,PJ0009,大阪オフィス,シフトB,火,事務
2025-09-09,EMP0186,製造2部,一般,09:14,17:14,480,0,0,,0.7,あり,あり,あり,782,PJ0004,名古屋オフィス,シフトA,火,開発
2025-09-09,EMP0072,人事部,一般,08:58,17:01,480,63,0,,0.6,なし,なし,なし,667,PJ0019,福岡オフィス,通常,火,開発
2025-09-09,EMP0182,DX推進部,主任,08:47,16:34,480,47,0,,0.0,なし,なし,なし,1155,PJ0009,名古屋オフィス,夜勤,火,会議
2026-04-03,EMP0146,情報システム部,主任,09:38,17:18,480,40,0,,0.4,あり,あり,なし,1212,PJ0007,名古屋オフィス,夜勤,金,管理
2026-04-03,EMP0149,DX推進部,課長,09:56,18:42,480,106,19,,0.7,なし,なし,なし,1440,PJ0001,大阪オフィス,夜勤,金,サポート
2026-04-03,EMP0069,DX推進部,課長,09:34,17:23,480,49,0,,0.3,なし,あり,なし,705,PJ0005,工場,通常,金,製造
2026-04-03,EMP0098,マーケ部,一般,08:00,16:23,480,23,0,,0.2,あり,あり,なし,1320,PJ0015,名古屋オフィス,シフトA,金,会議
2026-04-03,EMP0142,総務部,一般,08:06,16:06,480,0,0,,0.5,なし,あり,あり,1641,PJ0023,福岡オフィス,夜勤,金,営業活動
2026-04-03,EMP0111,情報システム部,一般,09:45,17:38,480,53,0,,0.7,あり,あり,なし,1449,PJ0020,名古屋オフィス,通常,金,管理
2026-04-03,EMP0031,営業2部,一般,09:59,18:10,480,71,0,,0.8,あり,あり,なし,1748,PJ0020,名古屋オフィス,フレックス,金,製造
2026-04-03,EMP0152,製造2部,主任,09:56,17:30,480,34,0,,0.8,なし,なし,なし,1589,PJ0018,福岡オフィス,シフトB,金,製造
2026-04-03,EMP0015,情報システム部,一般,09:55,17:55,480,0,0,,0.1,なし,なし,なし,1423,PJ0015,リモート,シフトA,金,会議
2026-04-03,EMP0075,マーケ部,課長,08:09,16:56,480,47,0,,0.4,あり,なし,なし,856,PJ0017,福岡オフィス,フレックス,金,営業活動
2026-04-03,EMP0179,製造2部,一般,09:28,17:28,480,0,0,,0.2,なし,なし,なし,1690,PJ0004,工場,シフトB,金,製造
2026-04-03,EMP0039,営業2部,主任,10:52,19:01,480,69,0,,0.7,なし,なし,なし,1671,PJ0019,大阪オフィス,シフトA,金,営業活動
2025-12-04,EMP0050,マーケ部,部長,09:21,17:59,480,38,0,,0.8,あり,なし,なし,1392,PJ0014,大阪オフィス,夜勤,木,営業活動
2025-12-04,EMP0156,総務部,主任,08:59,16:57,480,58,0,,0.1,あり,なし,なし,1305,PJ0002,福岡オフィス,シフトA,木,事務
2025-12-04,EMP0100,営業1部,主任,09:13,17:13,480,0,0,,0.3,なし,なし,なし,1032,PJ0019,本社,フレックス,木,営業活動
2025-12-04,EMP0016,製造2部,一般,,,0,0,0,傷病,0.9,なし,なし,なし,787,PJ0014,工場,夜勤,木,事務
2025-12-04,EMP0009,営業2部,一般,08:27,16:04,480,37,0,,0.5,なし,あり,なし,811,PJ0003,本社,夜勤,木,サポート
2025-12-04,EMP0195,DX推進部,主任,09:22,17:32,480,10,0,,0.5,あり,なし,なし,1317,PJ0017,本社,シフトA,木,事務
2025-12-04,EMP0108,R&D部,一般,09:55,17:35,480,40,0,,0.8,なし,なし,なし,1005,PJ0004,大阪オフィス,シフトA,木,製造
2025-12-04,EMP0174,R&D部,一般,09:13,17:46,480,33,0,,0.2,なし,なし,なし,996,PJ0019,本社,シフトB,木,サポート
2025-12-04,EMP0082,営業2部,一般,09:47,17:47,480,0,0,,0.8,なし,あり,なし,928,PJ0007,名古屋オフィス,夜勤,木,営業活動
2025-12-04,EMP0125,製造1部,一般,08:15,16:20,480,5,0,,0.4,あり,あり,なし,1759,PJ0015,福岡オフィス,シフトA,木,管理
2025-12-04,EMP0155,人事部,一般,08:21,17:25,480,64,0,,0.9,なし,なし,なし,717,PJ0001,工場,シフトB,木,製造
2025-12-04,EMP0030,総務部,一般,09:30,17:34,480,4,0,,0.6,あり,なし,なし,1096,PJ0001,名古屋オフィス,シフトB,木,サポート
2025-06-30,EMP0149,DX推進部,課長,08:56,16:27,480,31,0,,0.4,なし,あり,なし,1421,PJ0026,名古屋オフィス,通常,月,事務
2025-06-30,EMP0168,製造2部,主任,09:33,17:53,480,20,0,,0.6,あり,なし,なし,1699,PJ0011,福岡オフィス,シフトB,月,製造
2025-06-30,EMP0099,総務部,一般,10:36,18:36,480,0,0,,0.8,なし,あり,なし,1143,PJ0012,リモート,フレックス,月,事務
2025-06-30,EMP0133,経理部,主任,10:07,18:05,480,58,0,,0.2,あり,あり,なし,1571,PJ0012,福岡オフィス,フレックス,月,サポート
2025-06-30,EMP0121,製造1部,一般,10:42,18:26,480,44,0,,0.7,あり,あり,なし,1846,PJ0017,リモート,シフトA,月,開発
2025-06-30,EMP0157,製造1部,主任,10:49,18:57,480,8,0,,0.3,あり,あり,なし,1332,PJ0017,大阪オフィス,シフトB,月,管理
2025-06-30,EMP0135,営業1部,主任,09:54,18:37,480,103,3,,0.2,なし,あり,なし,679,PJ0020,福岡オフィス,シフトB,月,営業活動
2025-06-30,EMP0193,DX推進部,係長,08:39,16:49,480,10,0,,0.3,なし,なし,なし,1008,PJ0026,リモート,シフトB,月,開発
2025-06-30,EMP0116,営業2部,一般,10:45,18:00,480,15,0,,0.6,なし,なし,なし,1086,PJ0018,工場,シフトB,月,営業活動
2025-06-30,EMP0058,製造1部,一般,09:00,17:29,480,29,0,,0.7,あり,なし,なし,1031,PJ0027,福岡オフィス,シフトB,月,製造
2025-06-30,EMP0047,R&D部,主任,08:59,16:11,480,12,0,,0.5,あり,あり,なし,771,PJ0003,リモート,フレックス,月,製造
2025-06-30,EMP0107,製造2部,一般,09:41,17:53,480,12,0,,0.2,なし,なし,なし,1010,PJ0012,リモート,シフトA,月,営業活動
2024-01-01,EMP0055,経理部,主任,10:29,18:29,480,0,0,,0.3,あり,なし,なし,982,PJ0005,本社,フレックス,月,開発
2024-01-01,EMP0153,人事部,係長,09:54,17:54,480,0,0,,0.2,なし,なし,なし,1757,PJ0002,大阪オフィス,通常,月,営業活動
2024-01-01,EMP0075,マーケ部,課長,09:39,18:41,480,62,0,,0.6,なし,なし,なし,1598,PJ0023,本社,シフトB,月,サポート
2024-01-01,EMP0054,営業2部,係長,09:31,17:31,480,0,0,,0.7,なし,なし,なし,1115,PJ0023,リモート,フレックス,月,事務
2024-01-01,EMP0103,マーケ部,一般,08:35,16:17,480,42,0,,0.5,あり,なし,なし,1087,PJ0024,本社,フレックス,月,開発
2024-01-01,EMP0044,人事部,一般,09:06,17:39,480,33,0,,0.7,あり,なし,なし,1329,PJ0028,大阪オフィス,シフトA,月,管理
2024-01-01,EMP0159,人事部,主任,09:33,17:03,480,30,0,,0.1,なし,あり,なし,913,PJ0001,名古屋オフィス,夜勤,月,会議
2024-01-01,EMP0013,製造2部,主任,,,0,0,0,特別休暇,0.1,なし,なし,なし,928,PJ0010,福岡オフィス,通常,月,サポート
2024-01-01,EMP0155,人事部,一般,10:08,18:08,480,0,0,,0.7,なし,あり,なし,1710,PJ0012,工場,通常,月,営業活動
2024-01-01,EMP0117,営業1部,主任,09:53,17:38,480,45,0,,0.1,なし,なし,なし,1411,PJ0028,福岡オフィス,夜勤,月,営業活動
2024-01-01,EMP0181,営業1部,一般,09:52,18:40,480,108,0,,0.9,あり,なし,なし,1508,PJ0003,福岡オフィス,シフトA,月,事務
2024-01-01,EMP0146,情報システム部,主任,09:13,17:13,480,0,0,,0.5,なし,あり,なし,894,PJ0002,リモート,通常,月,サポート
2025-11-07,EMP0016,製造2部,一般,09:58,17:58,480,0,0,,0.8,なし,あり,なし,1012,PJ0017,工場,シフトA,金,事務
2025-11-07,EMP0011,営業2部,一般,09:47,17:55,480,8,0,,0.7,なし,あり,なし,1565,PJ0024,名古屋オフィス,フレックス,金,製造
2025-11-07,EMP0022,DX推進部,一般,09:44,17:03,480,19,0,,1.0,あり,なし,なし,1521,PJ0021,工場,シフトB,金,開発
2025-11-07,EMP0056,情報システム部,一般,09:09,17:51,480,42,0,,0.1,あり,なし,なし,1089,PJ0004,本社,フレックス,金,事務
2025-11-07,EMP0065,情報システム部,課長,08:37,16:50,480,13,0,,0.7,あり,なし,なし,1616,PJ0015,福岡オフィス,通常,金,事務
2025-11-07,EMP0105,R&D部,主任,10:56,18:56,480,0,0,,0.9,あり,なし,なし,1096,PJ0008,福岡オフィス,シフトA,金,事務
2025-11-07,EMP0168,製造2部,主任,09:14,17:41,480,27,0,,0.4,あり,あり,なし,1708,PJ0001,福岡オフィス,シフトB,金,製造
2025-11-07,EMP0120,製造1部,部長,08:51,17:11,480,80,0,,0.2,あり,なし,なし,1728,PJ0018,本社,シフトA,金,管理
2025-11-07,EMP0149,DX推進部,課長,,,0,0,0,有給,0.2,なし,なし,あり,1783,PJ0015,工場,シフトA,金,会議
2025-11-07,EMP0092,人事部,一般,09:41,17:41,480,0,0,,0.1,あり,あり,なし,1518,PJ0012,大阪オフィス,フレックス,金,開発
2025-11-07,EMP0166,営業2部,主任,10:48,18:48,480,0,0,,0.0,なし,なし,なし,1779,PJ0006,リモート,フレックス,金,製造
2025-11-07,EMP0142,総務部,一般,09:19,18:59,480,100,29,,0.7,なし,あり,なし,1176,PJ0025,リモート,シフトA,金,管理
2026-04-06,EMP0050,マーケ部,部長,08:35,16:25,480,50,0,,0.6,なし,なし,あり,1840,PJ0003,本社,シフトB,月,製造
2026-04-06,EMP0111,情報システム部,一般,10:28,18:28,480,0,0,,0.1,なし,あり,なし,1423,PJ0010,大阪オフィス,フレックス,月,管理
2026-04-06,EMP0083,R&D部,一般,09:55,17:47,480,52,0,,0.9,なし,なし,なし,1619,PJ0002,工場,夜勤,月,管理
2026-04-06,EMP0119,製造2部,一般,09:10,17:57,480,47,0,,1.0,なし,なし,なし,1264,PJ0025,リモート,シフトA,月,営業活動
2026-04-06,EMP0027,マーケ部,主任,09:50,17:38,480,48,0,,0.1,あり,なし,なし,851,PJ0007,本社,通常,月,開発
2026-04-06,EMP0132,マーケ部,係長,09:55,18:34,480,99,0,,0.4,なし,なし,なし,1636,PJ0029,本社,シフトB,月,サポート
2026-04-06,EMP0142,総務部,一般,09:33,17:38,480,5,0,,0.4,あり,なし,なし,1494,PJ0008,名古屋オフィス,フレックス,月,会議
2026-04-06,EMP0157,製造1部,主任,10:46,19:49,480,63,0,,0.7,なし,あり,なし,1579,PJ0007,本社,通常,月,営業活動
2026-04-06,EMP0106,人事部,一般,08:55,16:45,480,50,0,,0.2,なし,あり,なし,992,PJ0026,福岡オフィス,通常,月,開発
2026-04-06,EMP0102,経理部,一般,10:26,18:20,480,54,0,,0.1,なし,なし,なし,1040,PJ0006,リモート,フレックス,月,サポート
2026-04-06,EMP0127,情報システム部,課長,08:48,16:10,480,22,0,,0.9,あり,なし,なし,1591,PJ0012,大阪オフィス,シフトA,月,開発
2026-04-06,EMP0189,DX推進部,一般,10:26,18:35,480,9,0,,0.4,なし,なし,なし,752,PJ0016,本社,通常,月,開発
2025-08-21,EMP0050,マーケ部,部長,,,0,0,0,有給,0.8,あり,なし,なし,1483,PJ0012,工場,シフトB,木,営業活動
2025-08-21,EMP0073,DX推進部,一般,08:48,16:06,480,18,0,,0.3,なし,あり,あり,738,PJ0029,工場,通常,木,管理
2025-08-21,EMP0108,R&D部,一般,08:22,17:32,480,70,0,,0.1,あり,なし,なし,1572,PJ0019,工場,シフトA,木,会議
2025-08-21,EMP0175,営業2部,一般,10:45,19:07,480,82,0,,0.2,あり,なし,なし,1285,PJ0020,リモート,シフトA,木,会議
2025-08-21,EMP0118,製造2部,一般,10:35,18:18,480,43,0,,0.7,あり,なし,なし,1155,PJ0026,本社,シフトB,木,サポート
2025-08-21,EMP0099,総務部,一般,08:27,16:27,480,0,0,,0.9,なし,なし,なし,1499,PJ0006,名古屋オフィス,通常,木,営業活動
2025-08-21,EMP0141,人事部,主任,09:49,17:12,480,23,0,,0.3,なし,なし,なし,1128,PJ0025,大阪オフィス,シフトB,木,製造
2025-08-21,EMP0149,DX推進部,課長,08:12,16:12,480,0,0,,0.8,あり,なし,なし,1120,PJ0026,本社,フレックス,木,営業活動
2025-08-21,EMP0026,経理部,一般,09:15,17:28,480,13,0,,0.8,なし,なし,なし,1186,PJ0028,工場,通常,木,サポート
2025-08-21,EMP0147,R&D部,係長,09:39,17:39,480,0,0,,0.5,なし,なし,なし,849,PJ0012,工場,フレックス,木,管理
2025-08-21,EMP0188,DX推進部,一般,10:51,18:42,480,51,0,,0.5,なし,あり,なし,885,PJ0004,リモート,シフトA,木,開発
2025-08-21,EMP0036,製造2部,一般,08:46,16:42,480,56,0,,0.8,なし,なし,なし,939,PJ0018,福岡オフィス,フレックス,木,事務
2025-12-01,EMP0056,情報システム部,一般,08:14,16:23,480,9,0,,0.6,あり,あり,なし,923,PJ0020,福岡オフィス,シフトB,月,営業活動
2025-12-01,EMP0116,営業2部,一般,09:19,17:24,480,5,0,,0.2,なし,あり,あり,1706,PJ0023,工場,夜勤,月,営業活動
2025-12-01,EMP0097,R&D部,係長,08:42,16:42,480,0,0,,0.4,あり,なし,なし,1179,PJ0008,工場,フレックス,月,会議
2025-12-01,EMP0087,製造1部,一般,09:05,17:10,480,5,0,,0.6,あり,なし,なし,1102,PJ0010,福岡オフィス,夜勤,月,会議
2025-12-01,EMP0160,経理部,課長,08:02,16:02,480,0,0,,0.7,なし,なし,なし,1310,PJ0010,本社,通常,月,会議
2025-12-01,EMP0100,営業1部,主任,09:09,18:10,480,61,0,,0.7,なし,なし,なし,1762,PJ0026,本社,通常,月,営業活動
2025-12-01,EMP0082,営業2部,一般,08:35,16:13,480,38,0,,0.9,あり,なし,なし,1405,PJ0017,リモート,シフトA,月,会議
2025-12-01,EMP0197,製造1部,課長,09:34,17:02,480,28,0,,0.8,なし,あり,なし,1441,PJ0022,福岡オフィス,通常,月,開発
2025-12-01,EMP0077,DX推進部,課長,09:07,17:07,480,0,0,,0.8,なし,あり,なし,1263,PJ0029,本社,夜勤,月,事務
2025-12-01,EMP0196,マーケ部,主任,08:40,16:46,480,6,0,,0.8,あり,なし,なし,1528,PJ0012,名古屋オフィス,通常,月,製造
2025-12-01,EMP0090,DX推進部,主任,09:36,17:16,480,40,0,,0.7,あり,あり,なし,1153,PJ0007,本社,フレックス,月,事務
2025-12-01,EMP0039,営業2部,主任,08:39,16:39,480,0,0,,0.9,なし,なし,なし,938,PJ0006,福岡オフィス,シフトB,月,管理
2025-05-12,EMP0102,経理部,一般,08:10,16:49,480,39,0,,1.0,なし,あり,なし,1393,PJ0009,福岡オフィス,通常,月,開発
2025-05-12,EMP0139,経理部,一般,09:59,17:29,480,30,0,,0.1,あり,なし,なし,1566,PJ0022,福岡オフィス,シフトA,月,管理
2025-05-12,EMP0121,製造1部,一般,09:54,17:49,480,55,0,,0.1,あり,あり,なし,1600,PJ0025,本社,通常,月,事務
2025-05-12,EMP0198,製造1部,主任,10:03,19:24,480,81,0,,0.6,あり,あり,なし,1290,PJ0007,名古屋オフィス,シフトA,月,サポート
2025-05-12,EMP0096,R&D部,課長,09:45,17:22,480,37,0,,1.0,なし,なし,なし,1439,PJ0007,本社,シフトB,月,製造
2025-05-12,EMP0165,マーケ部,主任,09:23,17:33,480,10,0,,0.5,なし,なし,なし,1346,PJ0010,名古屋オフィス,シフトA,月,営業活動
2025-05-12,EMP0157,製造1部,主任,08:58,16:58,480,0,0,,0.5,なし,なし,なし,1455,PJ0028,工場,シフトB,月,会議
2025-05-12,EMP0056,情報システム部,一般,09:36,17:49,480,13,0,,0.6,なし,なし,なし,1017,PJ0026,名古屋オフィス,シフトA,月,事務
2025-05-12,EMP0180,営業2部,一般,,,0,0,0,代休,0.0,あり,なし,なし,1644,PJ0011,大阪オフィス,夜勤,月,会議
2025-05-12,EMP0086,R&D部,一般,08:17,16:50,480,33,0,,0.2,なし,あり,なし,1467,PJ0029,工場,フレックス,月,事務
2025-05-12,EMP0150,総務部,係長,08:56,16:20,480,24,0,,0.5,なし,なし,なし,1739,PJ0026,リモート,フレックス,月,事務
2025-05-12,EMP0045,マーケ部,係長,09:55,17:56,480,1,0,,1.0,あり,なし,なし,1438,PJ0028,本社,夜勤,月,管理
2024-11-04,EMP0138,DX推進部,主任,09:08,17:45,480,37,0,,0.9,あり,あり,なし,826,PJ0001,福岡オフィス,フレックス,月,営業活動
2024-11-04,EMP0126,経理部,一般,09:45,17:33,480,48,0,,0.4,なし,なし,なし,1715,PJ0002,福岡オフィス,シフトA,月,会議
2024-11-04,EMP0189,DX推進部,一般,08:40,16:44,480,4,0,,0.9,あり,なし,なし,1136,PJ0008,名古屋オフィス,フレックス,月,サポート
2024-11-04,EMP0076,製造1部,係長,08:30,16:30,480,0,0,,0.8,あり,なし,なし,1105,PJ0010,福岡オフィス,シフトA,月,会議
2024-11-04,EMP0086,R&D部,一般,09:58,17:58,480,0,0,,0.1,なし,なし,なし,1707,PJ0011,リモート,シフトA,月,管理
2024-11-04,EMP0088,営業1部,係長,,,0,0,0,特別休暇,1.0,なし,あり,なし,1306,PJ0025,大阪オフィス,夜勤,月,営業活動
2024-11-04,EMP0149,DX推進部,課長,10:59,18:59,480,0,0,,0.1,あり,あり,なし,1169,PJ0008,本社,フレックス,月,開発
2024-11-04,EMP0043,DX推進部,課長,,,0,0,0,有給,0.7,あり,あり,なし,1685,PJ0010,リモート,シフトB,月,開発
2024-11-04,EMP0021,マーケ部,課長,08:59,17:49,480,110,0,,0.5,あり,なし,なし,791,PJ0019,大阪オフィス,シフトB,月,会議
2024-11-04,EMP0064,営業2部,課長,08:25,16:53,480,28,0,,0.1,あり,なし,なし,1525,PJ0012,大阪オフィス,夜勤,月,会議
2024-11-04,EMP0186,製造2部,一般,09:14,17:14,480,0,0,,0.0,なし,あり,なし,1006,PJ0021,工場,夜勤,月,サポート
2024-11-04,EMP0116,営業2部,一般,,,0,0,0,有給,0.9,あり,あり,なし,1498,PJ0005,大阪オフィス,シフトB,月,サポート
2024-06-17,EMP0057,DX推進部,主任,09:17,17:23,480,6,0,,0.6,あり,なし,あり,867,PJ0017,大阪オフィス,シフトA,月,製造
2024-06-17,EMP0050,マーケ部,部長,08:48,16:14,480,26,0,,0.6,なし,なし,なし,1515,PJ0004,リモート,シフトA,月,管理
2024-06-17,EMP0039,営業2部,主任,09:20,17:20,480,0,0,,0.6,あり,なし,なし,877,PJ0001,名古屋オフィス,シフトA,月,営業活動
2024-06-17,EMP0026,経理部,一般,08:24,16:56,480,32,0,,0.6,なし,あり,なし,1318,PJ0019,本社,シフトA,月,製造
2024-06-17,EMP0186,製造2部,一般,09:08,18:45,480,97,2,,0.1,あり,あり,なし,840,PJ0004,本社,フレックス,月,会議
2024-06-17,EMP0052,営業2部,部長,08:04,16:36,480,32,0,,0.8,あり,あり,なし,1339,PJ0018,大阪オフィス,フレックス,月,製造
2024-06-17,EMP0178,営業1部,一般,09:57,18:31,480,94,0,,0.9,あり,なし,なし,1776,PJ0002,本社,フレックス,月,管理
