日付,顧客名,契約プラン,作業件数,作業工数_時間,インシデント件数,監視アラート件数,問い合わせ件数,SLA超過件数
2026-05-13,大和フーズ株式会社,プレミアム,1,2.5,1,0,0,0
2026-05-14,あさひ物流株式会社,スタンダード,1,3.0,0,0,0,0
2026-05-14,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-14,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-15,あさひ物流株式会社,スタンダード,1,1.0,0,0,1,0
2026-05-15,みどり建設株式会社,ライト,1,1.0,0,0,0,0
2026-05-15,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-16,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-16,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-16,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-17,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-17,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-17,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-18,あさひ物流株式会社,スタンダード,2,5.0,0,0,1,0
2026-05-18,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-18,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-19,あさひ物流株式会社,スタンダード,1,3.0,1,0,0,0
2026-05-19,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-19,大和フーズ株式会社,プレミアム,1,2.0,0,0,0,0
2026-05-20,あさひ物流株式会社,スタンダード,1,1.5,0,1,0,0
2026-05-20,みどり建設株式会社,ライト,1,0.5,0,0,1,0
2026-05-20,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-21,あさひ物流株式会社,スタンダード,2,2.0,0,0,1,0
2026-05-21,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-21,大和フーズ株式会社,プレミアム,1,3.0,0,0,0,0
2026-05-22,あさひ物流株式会社,スタンダード,1,2.0,0,0,0,0
2026-05-22,みどり建設株式会社,ライト,1,2.0,1,0,0,0
2026-05-22,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-23,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-23,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-23,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-24,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-24,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-24,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-25,あさひ物流株式会社,スタンダード,2,4.0,0,0,1,0
2026-05-25,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-25,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-26,あさひ物流株式会社,スタンダード,2,2.5,0,1,0,0
2026-05-26,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-26,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-27,あさひ物流株式会社,スタンダード,1,2.0,1,0,0,0
2026-05-27,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-27,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-28,あさひ物流株式会社,スタンダード,2,4.0,0,0,1,0
2026-05-28,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-28,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-29,あさひ物流株式会社,スタンダード,3,7.5,0,0,0,0
2026-05-29,みどり建設株式会社,ライト,1,2.0,0,0,0,0
2026-05-29,大和フーズ株式会社,プレミアム,1,3.0,0,0,0,0
2026-05-30,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-30,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-30,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-05-31,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-05-31,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-05-31,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-01,あさひ物流株式会社,スタンダード,2,5.5,0,0,0,0
2026-06-01,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-01,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-02,あさひ物流株式会社,スタンダード,1,0.5,0,0,1,0
2026-06-02,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-02,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-03,あさひ物流株式会社,スタンダード,1,1.5,0,1,0,0
2026-06-03,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-03,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-04,あさひ物流株式会社,スタンダード,1,1.5,0,0,0,0
2026-06-04,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-04,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-05,あさひ物流株式会社,スタンダード,1,3.0,1,0,0,0
2026-06-05,みどり建設株式会社,ライト,1,1.5,0,0,0,0
2026-06-05,大和フーズ株式会社,プレミアム,1,3.0,0,0,0,0
2026-06-06,あさひ物流株式会社,スタンダード,1,3.0,0,0,0,0
2026-06-06,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-06,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-07,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-06-07,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-07,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-08,あさひ物流株式会社,スタンダード,1,3.5,0,0,0,0
2026-06-08,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-08,大和フーズ株式会社,プレミアム,1,3.0,1,0,0,0
2026-06-09,あさひ物流株式会社,スタンダード,2,2.5,0,1,1,0
2026-06-09,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-09,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-10,あさひ物流株式会社,スタンダード,1,3.5,0,0,0,0
2026-06-10,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-10,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-11,あさひ物流株式会社,スタンダード,1,0.5,0,1,0,0
2026-06-11,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-11,大和フーズ株式会社,プレミアム,1,4.0,0,0,0,0
2026-06-12,あさひ物流株式会社,スタンダード,1,4.0,1,0,0,0
2026-06-12,みどり建設株式会社,ライト,1,1.0,0,0,0,0
2026-06-12,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-13,あさひ物流株式会社,スタンダード,1,4.0,0,0,0,0
2026-06-13,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-13,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-14,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-06-14,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-14,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-15,あさひ物流株式会社,スタンダード,1,4.0,0,0,0,0
2026-06-15,みどり建設株式会社,ライト,1,2.0,0,0,0,0
2026-06-15,大和フーズ株式会社,プレミアム,1,3.5,1,0,0,0
2026-06-16,あさひ物流株式会社,スタンダード,1,0.5,0,0,1,0
2026-06-16,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-16,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-17,あさひ物流株式会社,スタンダード,1,2.0,0,1,0,0
2026-06-17,みどり建設株式会社,ライト,1,1.5,1,0,0,0
2026-06-17,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-18,あさひ物流株式会社,スタンダード,2,7.0,1,0,0,1
2026-06-18,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-18,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-19,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-06-19,みどり建設株式会社,ライト,1,0.5,0,0,1,0
2026-06-19,大和フーズ株式会社,プレミアム,1,3.0,0,0,0,0
2026-06-20,あさひ物流株式会社,スタンダード,2,6.5,1,0,0,0
2026-06-20,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-20,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-21,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-06-21,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-21,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-22,あさひ物流株式会社,スタンダード,1,3.5,0,0,0,0
2026-06-22,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-22,大和フーズ株式会社,プレミアム,1,1.5,0,0,1,0
2026-06-23,あさひ物流株式会社,スタンダード,2,1.5,0,1,1,0
2026-06-23,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-23,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-24,あさひ物流株式会社,スタンダード,1,2.0,1,0,0,0
2026-06-24,みどり建設株式会社,ライト,1,2.5,1,0,0,0
2026-06-24,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-25,あさひ物流株式会社,スタンダード,1,1.0,0,1,0,0
2026-06-25,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-25,大和フーズ株式会社,プレミアム,1,2.0,0,0,0,0
2026-06-26,あさひ物流株式会社,スタンダード,2,3.0,0,0,0,0
2026-06-26,みどり建設株式会社,ライト,1,3.0,0,0,0,0
2026-06-26,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-27,あさひ物流株式会社,スタンダード,1,3.0,1,0,0,0
2026-06-27,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-27,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-28,あさひ物流株式会社,スタンダード,0,0.0,0,0,0,0
2026-06-28,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-28,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-29,あさひ物流株式会社,スタンダード,2,3.5,0,0,0,0
2026-06-29,みどり建設株式会社,ライト,0,0.0,0,0,0,0
2026-06-29,大和フーズ株式会社,プレミアム,0,0.0,0,0,0,0
2026-06-30,あさひ物流株式会社,スタンダード,3,8.0,0,0,0,0
2026-06-30,みどり建設株式会社,ライト,1,2.0,0,0,0,0
2026-06-30,大和フーズ株式会社,プレミアム,1,3.0,0,0,0,0
