請求月,利用日,アカウントID,アカウント名,サービスコード,サービス名,利用タイプ,リージョン,リソースID,利用量,単位,コスト_円,部門,システム,環境
2025-07,2025-07-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-6dda8b18fe31,514.3,時間,14400,経営企画部門,データ分析基盤,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-4b2fdf91136e,226.2,メトリクス,10860,経営企画部門,データ分析基盤,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-fa07cef6c9f3,4862.5,時間,77800,管理部門,社内ポータル・グループウェア,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-b219a86e80ba,1664.6,GB-月,21640,管理部門,社内ポータル・グループウェア,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-7a30e5b3780b,511.4,時間,14320,管理部門,社内ポータル・グループウェア,本番
2025-07,2025-07-01,111122223333,本番アカウント,AWSELB,Elastic Load Balancing,LoadBalancerUsage,ap-northeast-1 (東京),elb-eb3103928700,2248.0,時間,11240,管理部門,社内ポータル・グループウェア,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-a74b98144e35,213.8,メトリクス,10260,管理部門,社内ポータル・グループウェア,本番
2025-07,2025-07-01,111122223333,本番アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-3b70a77e73d5,2303.3,GB-月,6910,管理部門,社内ポータル・グループウェア,本番
2025-07,2025-07-01,444455556666,開発アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-2fe1a486b200,12659.4,時間,202550,開発部門,開発・検証環境,開発
2025-07,2025-07-01,444455556666,開発アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-5a1f1beb20e4,4926.2,GB-月,64040,開発部門,開発・検証環境,開発
2025-07,2025-07-01,444455556666,開発アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-5e2379cea750,896.1,時間,25090,開発部門,開発・検証環境,開発
2025-07,2025-07-01,444455556666,開発アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-1fae9926cade,267.7,メトリクス,12850,開発部門,開発・検証環境,開発
2025-07,2025-07-01,444455556666,開発アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-809104da2c0a,3123.3,GB-月,9370,開発部門,開発・検証環境,開発
2025-08,2025-08-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-5d4e7eacd3d4,14733.1,時間,235730,管理部門,ERP基幹システム,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-b82588652c47,2863.6,時間,80180,管理部門,ERP基幹システム,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-c9346574db46,3143.1,GB-月,40860,管理部門,ERP基幹システム,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-f1a74376fb95,428.3,メトリクス,20560,管理部門,ERP基幹システム,本番
2025-08,2025-08-01,111122223333,本番アカウント,AWSBackup,AWS Backup,Backup:VolumeStorage,ap-northeast-1 (東京),bk-f32c7227d7a8,6706.7,GB-月,40240,管理部門,ERP基幹システム,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-592e648b9ba0,6841.9,時間,109470,EC事業部,ECサイト,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-da6219ad37ae,1377.5,時間,38570,EC事業部,ECサイト,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-d7aa8da513fd,2014.6,GB-月,26190,EC事業部,ECサイト,本番
2025-08,2025-08-01,111122223333,本番アカウント,AWSDataTransfer,データ転送,DataTransfer-Out-Bytes,ap-northeast-1 (東京),dt-fd500ad95a5d,3102.1,GB,43430,EC事業部,ECサイト,本番
2025-08,2025-08-01,111122223333,本番アカウント,AWSELB,Elastic Load Balancing,LoadBalancerUsage,ap-northeast-1 (東京),elb-b4d068975c34,4756.0,時間,23780,EC事業部,ECサイト,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-bd2801c823b4,4406.7,GB-月,13220,EC事業部,ECサイト,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-b8713bb4863f,162.5,メトリクス,7800,EC事業部,ECサイト,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-576e1f442659,9065.0,時間,145040,製造部門,生産管理システム,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-87c149a5529e,2012.9,時間,56360,製造部門,生産管理システム,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-98292be191a9,3161.5,GB-月,41100,製造部門,生産管理システム,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-ccbb8505a995,284.4,メトリクス,13650,製造部門,生産管理システム,本番
2025-08,2025-08-01,111122223333,本番アカウント,AWSBackup,AWS Backup,Backup:VolumeStorage,ap-northeast-1 (東京),bk-8d32d728bf40,2176.7,GB-月,13060,製造部門,生産管理システム,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-ea595f7d8b2f,5650.0,時間,90400,営業部門,顧客管理(CRM),本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-35e79365bd29,1220.0,時間,34160,営業部門,顧客管理(CRM),本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-45f42d028870,1611.5,GB-月,20950,営業部門,顧客管理(CRM),本番
2025-08,2025-08-01,111122223333,本番アカウント,AWSDataTransfer,データ転送,DataTransfer-Out-Bytes,ap-northeast-1 (東京),dt-4aa24517263b,1059.3,GB,14830,営業部門,顧客管理(CRM),本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-afecbd4809b5,186.7,メトリクス,8960,営業部門,顧客管理(CRM),本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-8d08b6a0923b,2963.3,GB-月,8890,営業部門,顧客管理(CRM),本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-509585ee4c9d,4048.1,時間,64770,経営企画部門,データ分析基盤,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-b1f13c96c7e9,13703.3,GB-月,41110,経営企画部門,データ分析基盤,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-d48e4c539bf3,1256.9,GB-月,16340,経営企画部門,データ分析基盤,本番
2025-08,2025-08-01,111122223333,本番アカウント,AWSDataTransfer,データ転送,DataTransfer-Out-Bytes,ap-northeast-1 (東京),dt-6c0ca7247c02,884.3,GB,12380,経営企画部門,データ分析基盤,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-6dda8b18fe31,541.4,時間,15160,経営企画部門,データ分析基盤,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-4b2fdf91136e,227.5,メトリクス,10920,経営企画部門,データ分析基盤,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-fa07cef6c9f3,4724.4,時間,75590,管理部門,社内ポータル・グループウェア,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-b219a86e80ba,1576.9,GB-月,20500,管理部門,社内ポータル・グループウェア,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-7a30e5b3780b,524.6,時間,14690,管理部門,社内ポータル・グループウェア,本番
2025-08,2025-08-01,111122223333,本番アカウント,AWSELB,Elastic Load Balancing,LoadBalancerUsage,ap-northeast-1 (東京),elb-eb3103928700,2336.0,時間,11680,管理部門,社内ポータル・グループウェア,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-a74b98144e35,201.5,メトリクス,9670,管理部門,社内ポータル・グループウェア,本番
2025-08,2025-08-01,111122223333,本番アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-3b70a77e73d5,2380.0,GB-月,7140,管理部門,社内ポータル・グループウェア,本番
2025-08,2025-08-01,444455556666,開発アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-2fe1a486b200,12711.2,時間,203380,開発部門,開発・検証環境,開発
2025-08,2025-08-01,444455556666,開発アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-5a1f1beb20e4,5066.2,GB-月,65860,開発部門,開発・検証環境,開発
2025-08,2025-08-01,444455556666,開発アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-5e2379cea750,899.6,時間,25190,開発部門,開発・検証環境,開発
2025-08,2025-08-01,444455556666,開発アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-1fae9926cade,257.3,メトリクス,12350,開発部門,開発・検証環境,開発
2025-08,2025-08-01,444455556666,開発アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-809104da2c0a,3083.3,GB-月,9250,開発部門,開発・検証環境,開発
2025-09,2025-09-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-5d4e7eacd3d4,14526.2,時間,232420,管理部門,ERP基幹システム,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-b82588652c47,2928.9,時間,82010,管理部門,ERP基幹システム,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-c9346574db46,3258.5,GB-月,42360,管理部門,ERP基幹システム,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-f1a74376fb95,455.0,メトリクス,21840,管理部門,ERP基幹システム,本番
2025-09,2025-09-01,111122223333,本番アカウント,AWSBackup,AWS Backup,Backup:VolumeStorage,ap-northeast-1 (東京),bk-f32c7227d7a8,6930.0,GB-月,41580,管理部門,ERP基幹システム,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-592e648b9ba0,7031.2,時間,112500,EC事業部,ECサイト,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-da6219ad37ae,1550.0,時間,43400,EC事業部,ECサイト,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-d7aa8da513fd,2122.3,GB-月,27590,EC事業部,ECサイト,本番
2025-09,2025-09-01,111122223333,本番アカウント,AWSDataTransfer,データ転送,DataTransfer-Out-Bytes,ap-northeast-1 (東京),dt-fd500ad95a5d,3020.7,GB,42290,EC事業部,ECサイト,本番
2025-09,2025-09-01,111122223333,本番アカウント,AWSELB,Elastic Load Balancing,LoadBalancerUsage,ap-northeast-1 (東京),elb-b4d068975c34,4736.0,時間,23680,EC事業部,ECサイト,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-bd2801c823b4,4413.3,GB-月,13240,EC事業部,ECサイト,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-b8713bb4863f,174.4,メトリクス,8370,EC事業部,ECサイト,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-576e1f442659,10826.2,時間,173220,製造部門,生産管理システム,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-87c149a5529e,2168.6,時間,60720,製造部門,生産管理システム,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-98292be191a9,3376.9,GB-月,43900,製造部門,生産管理システム,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-ccbb8505a995,315.0,メトリクス,15120,製造部門,生産管理システム,本番
2025-09,2025-09-01,111122223333,本番アカウント,AWSBackup,AWS Backup,Backup:VolumeStorage,ap-northeast-1 (東京),bk-8d32d728bf40,2676.7,GB-月,16060,製造部門,生産管理システム,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-ea595f7d8b2f,5594.4,時間,89510,営業部門,顧客管理(CRM),本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-35e79365bd29,1335.0,時間,37380,営業部門,顧客管理(CRM),本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-45f42d028870,1706.9,GB-月,22190,営業部門,顧客管理(CRM),本番
2025-09,2025-09-01,111122223333,本番アカウント,AWSDataTransfer,データ転送,DataTransfer-Out-Bytes,ap-northeast-1 (東京),dt-4aa24517263b,970.0,GB,13580,営業部門,顧客管理(CRM),本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-afecbd4809b5,190.0,メトリクス,9120,営業部門,顧客管理(CRM),本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-8d08b6a0923b,3030.0,GB-月,9090,営業部門,顧客管理(CRM),本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-509585ee4c9d,4215.6,時間,67450,経営企画部門,データ分析基盤,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-b1f13c96c7e9,13673.3,GB-月,41020,経営企画部門,データ分析基盤,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-d48e4c539bf3,1310.8,GB-月,17040,経営企画部門,データ分析基盤,本番
2025-09,2025-09-01,111122223333,本番アカウント,AWSDataTransfer,データ転送,DataTransfer-Out-Bytes,ap-northeast-1 (東京),dt-6c0ca7247c02,922.9,GB,12920,経営企画部門,データ分析基盤,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-6dda8b18fe31,596.1,時間,16690,経営企画部門,データ分析基盤,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-4b2fdf91136e,244.0,メトリクス,11710,経営企画部門,データ分析基盤,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-fa07cef6c9f3,5081.2,時間,81300,管理部門,社内ポータル・グループウェア,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-b219a86e80ba,1693.1,GB-月,22010,管理部門,社内ポータル・グループウェア,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-7a30e5b3780b,493.2,時間,13810,管理部門,社内ポータル・グループウェア,本番
2025-09,2025-09-01,111122223333,本番アカウント,AWSELB,Elastic Load Balancing,LoadBalancerUsage,ap-northeast-1 (東京),elb-eb3103928700,2262.0,時間,11310,管理部門,社内ポータル・グループウェア,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-a74b98144e35,199.6,メトリクス,9580,管理部門,社内ポータル・グループウェア,本番
2025-09,2025-09-01,111122223333,本番アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-3b70a77e73d5,2453.3,GB-月,7360,管理部門,社内ポータル・グループウェア,本番
2025-09,2025-09-01,444455556666,開発アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-2fe1a486b200,13582.5,時間,217320,開発部門,開発・検証環境,開発
2025-09,2025-09-01,444455556666,開発アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-5a1f1beb20e4,4860.0,GB-月,63180,開発部門,開発・検証環境,開発
2025-09,2025-09-01,444455556666,開発アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-5e2379cea750,933.9,時間,26150,開発部門,開発・検証環境,開発
2025-09,2025-09-01,444455556666,開発アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-1fae9926cade,271.7,メトリクス,13040,開発部門,開発・検証環境,開発
2025-09,2025-09-01,444455556666,開発アカウント,AmazonS3,Amazon S3,TimedStorage-ByteHrs,ap-northeast-1 (東京),s3-809104da2c0a,3113.3,GB-月,9340,開発部門,開発・検証環境,開発
2025-10,2025-10-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-5d4e7eacd3d4,11260.6,時間,180170,管理部門,ERP基幹システム,本番
2025-10,2025-10-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-b82588652c47,2288.9,時間,64090,管理部門,ERP基幹システム,本番
2025-10,2025-10-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-c9346574db46,2523.8,GB-月,32810,管理部門,ERP基幹システム,本番
2025-10,2025-10-01,111122223333,本番アカウント,AmazonCloudWatch,Amazon CloudWatch,MetricMonitorUsage,ap-northeast-1 (東京),cw-f1a74376fb95,333.5,メトリクス,16010,管理部門,ERP基幹システム,本番
2025-10,2025-10-01,111122223333,本番アカウント,AWSBackup,AWS Backup,Backup:VolumeStorage,ap-northeast-1 (東京),bk-f32c7227d7a8,5055.0,GB-月,30330,管理部門,ERP基幹システム,本番
2025-10,2025-10-01,111122223333,本番アカウント,AmazonEC2,Amazon EC2,BoxUsage:m6i.large,ap-northeast-1 (東京),i-592e648b9ba0,7308.1,時間,116930,EC事業部,ECサイト,本番
2025-10,2025-10-01,111122223333,本番アカウント,AmazonRDS,Amazon RDS,InstanceUsage:db.m6i.large,ap-northeast-1 (東京),db-da6219ad37ae,1445.4,時間,40470,EC事業部,ECサイト,本番
2025-10,2025-10-01,111122223333,本番アカウント,AmazonEBS,Amazon EBS,EBS:VolumeUsage.gp3,ap-northeast-1 (東京),vol-d7aa8da513fd,2273.8,GB-月,29560,EC事業部,ECサイト,本番
